additive_code,additive_name,functional_class,india_fssai_status,foreign_banned_jurisdiction,why_banned_abroad,why_permitted_or_banned_in_india,risk_tier
INS 171 / E171,Titanium Dioxide,Synthetic White Colorant / Opacifier,PERMITTED under FSSAI MPLs,BANNED IN FOOD (EU 2022/63) | PERMITTED ≤ 1.0% by weight (21 CFR 73.575) | PERMITTED under positive list,"EFSA concluded in 2021 that titanium dioxide can no longer be considered safe as a food additive because potential genotoxicity concerns (micro/nano-particle intestinal accumulation and potential DNA strand breaks) could not be ruled out, adopting a precautionary ban.",Banned as a food additive in EU (authorisation withdrawn 2022). Permitted with limits in US and India.,🔴 High Concern
INS 319 / E319,TBHQ (Tertiary Butylhydroquinone),Synthetic Petroleum Antioxidant,PERMITTED under FSSAI MPLs,AUTHORISED with ADI and MPLs | PERMITTED ≤ 0.02% of fat content | NOT APPROVED on food positive list,"High-dose animal studies show hepatic enlargement, neurotoxic alterations, and cellular DNA stress. While human dietary intake at regulated levels is below ADI, FoodFactsIndia flags frequent intake in daily fried snacks/oils as High Concern.","Not approved for food use under Japan's positive list system. Authorised with strict ADI/MPLs in EU, US, and India.",🔴 High Concern
INS 320 / E320,BHA (Butylated Hydroxyanisole),Synthetic Phenolic Antioxidant,PERMITTED under FSSAI MPLs,AUTHORISED (ADI ≈1 mg/kg bw/day) | GRAS; CA Prop 65 Cancer Warning List | PERMITTED in specified categories,"Listed under CA Prop 65 based on high-dose rodent tumor data. Recognized in endocrine research as a potential estrogenic and thyroid disruptor. Regulators allow low doses under ADI, but daily exposure in children's snacks is flagged as High Concern.",Authorised globally with ADI. Listed under California Prop 65 with mandatory cancer warning requirement.,🔴 High Concern
INS 321 / E321,BHT (Butylated Hydroxytoluene),Synthetic Phenolic Antioxidant,PERMITTED under FSSAI MPLs,AUTHORISED (ADI 0.25 mg/kg bw/day) | GRAS for specified food uses | PERMITTED in specified categories,"High-dose rodent studies demonstrate hepatic enzyme induction, thyroid alterations, and blood coagulation interference. Avoidance in infant diets and low ADI form the basis for cautious evaluation.","Prohibited or avoided in infant food formulations in major jurisdictions; authorised in general foods with ADI (0.25 mg/kg bw/day) in EU, US, India, Japan.",🔴 High Concern
INS 102 / E102,Tartrazine (Yellow 5),Synthetic Petroleum Azo Dye,PERMITTED under FSSAI MPLs,AUTHORISED; Mandatory Child Activity Warning | PERMITTED (FD&C Yellow No. 5) | PERMITTED under positive list,The 2007 Southampton study demonstrated that mixtures of synthetic azo dyes with benzoate triggers pediatric hyperactivity and neuro-attentional deficits. Can cause urticaria and bronchospasm in aspirin-sensitive individuals.,Authorised globally with ADI. EU requires mandatory label warning: 'May have an adverse effect on activity and attention in children'.,🔴 High Concern
INS 110 / E110,Sunset Yellow FCF (Yellow 6),Synthetic Petroleum Azo Dye,PERMITTED under FSSAI MPLs,AUTHORISED; Mandatory Child Activity Warning | PERMITTED (FD&C Yellow No. 6) | PERMITTED under positive list,"Azo dye metabolism generates aromatic amines linked to pediatric neuro-hyperactivity, allergic rhinitis, hives, and gastric irritation in sensitive individuals.",Authorised globally with ADI. Requires mandatory EU warning label for child activity and attention impairment.,🔴 High Concern
INS 122 / E122,Azorubine / Carmoisine,Synthetic Petroleum Azo Dye,PERMITTED under FSSAI MPLs,AUTHORISED; Mandatory Child Activity Warning | NOT APPROVED for food use | NOT APPROVED for food use,"Azo dye associated with pediatric hyperactivity, severe histamine release, allergic asthma, and localized inflammation in animal studies.",Not approved for food use by US FDA or Japan. Authorised in EU and India with MPLs and mandatory EU child activity warning.,🔴 High Concern
INS 124 / E124,Ponceau 4R (Brilliant Scarlet),Synthetic Petroleum Azo Dye,PERMITTED under FSSAI MPLs,AUTHORISED; Mandatory Child Activity Warning | NOT APPROVED for food use | NOT APPROVED for food use,"Synthetic coal-tar derived dye linked to allergic asthma amplification, pediatric hyperkinesis, and histamine release.",Not approved for food use by US FDA or Japan. Authorised in EU and India with MPLs and mandatory EU child activity warning.,🔴 High Concern
INS 127 / E127,Erythrosine (Red 3),Synthetic Organoiodine Fluorone Dye,PERMITTED under FSSAI MPLs,RESTRICTED (Cocktail & Candied Cherries only) | PHASING OUT IN FOODS (FDA 2024 Rule) | PERMITTED in specified categories,High-dose rat studies demonstrated thyroid follicular cell hypertrophy and adenoma risk due to iodine metabolic disruption.,Banned in US cosmetics (1990); FDA phasing out food/drug uses (2024-2028). EU restricts almost exclusively to candied cherries.,🔴 High Concern
INS 129 / E129,Allura Red AC (Red 40),Synthetic Petroleum Azo Dye,PERMITTED under FSSAI MPLs,AUTHORISED; Mandatory Child Activity Warning | PERMITTED (FD&C Red No. 40) | PERMITTED under positive list,"Experimental mouse studies show chronic Allura Red exposure can promote colonic inflammation via serotonin-mediated pathways; human data remain limited, but daily pediatric exposure warrants cautious evaluation alongside EU mandatory child-activity warning labels.","Authorised in EU, US, Canada, India. EU requires mandatory warning label for child activity and attention.",🔴 High Concern
