Additive Category,Product Count,Percentage of Total Catalog
Titanium Dioxide (E171 / INS 171 - EU Banned),199,0.37%
Tartrazine (INS 102 - EU Warning Label),932,1.75%
Sunset Yellow (INS 110 - EU Warning Label),1244,2.33%
Carmoisine / Azorubine (INS 122 - EU Warning / US Banned),146,0.27%
Ponceau 4R (INS 124 - EU Warning / US Banned),72,0.13%
Allura Red AC (INS 129 - EU Warning Label),916,1.72%
Erythrosine (INS 127 - US FDA Food Restricted),66,0.12%
Brominated Vegetable Oil (BVO - Banned US/EU/India),4,0.01%
Potassium Bromate (Banned EU/India/Canada),6,0.01%
BHA - Butylated Hydroxyanisole (EU/US Restricted),181,0.34%
Cyclamates / INS 952 (US Banned),59,0.11%
Aspartame (INS 951 - IARC Group 2B Carcinogen),759,1.42%
MSG / Monosodium Glutamate (INS 621 - Infant Restricted FSSAI),906,1.70%
