barcode,product_name,brands,categories,slug,seo_status,seo_quality_score,has_ingredients,banned_reasons,ingredients_text,additives_tags
8901030987359,3 Roses Natural Care,Brooke Bond,Tea,3-roses-natural-care-8901030987359,INDEX,85,True,,"tea, natural flavouring substances.",[]
8904335602071,Yoga Bar Oats+ Choco Almond,Yoga Bar,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains,Oat",yoga-bar-oats-choco-almond-8904335602071,INDEX,100,True,,"whole grain 40% (<span class=""allergen"">oats</span>), dehydrated fruits, seeds & nuts 31% (dates, <span class=""allergen"">almonds</span>, raisins, pumpkin & chia seeds), protein blend 15% (wpi + soy protein), 10.7% cocoa powders, rice bran oil, himalayan pink salt. probiotics (bacillus coagulans snz 1969)",[]
8902901231373,Good Life hing,Good Life,,good-life-hing-8902901231373,INDEX,80,True,,"wheat flour (atta) (58%), gum arabic (31%), asafoetida (hing) 11%",['en:e414']
0746935596392,Butter Milk,Sid’s Farm,buttermilk,butter-milk-0746935596392,INDEX,90,True,,"water, curd (milk, active lactic cultures), salt, spices & condiments",[]
8901058010619,Maggi cheese noodles,Maggi,Instant Noodles,maggi-cheese-noodles-8901058010619,INDEX,85,True,,"noodls-
refined wheat flour (maida), palm oil, wheat gluten, lodized
salt, thickeners (508 & 412), acidity regulators (501(i) &
500(i)) and humectant (451(i)).
masala *tastemaker*

sugar, thickeners (508 & 412), starch, milk solids, lodized salt,
cheese (5.6%), flavour enhancer (635), garlic powder, yeast
extract powder, nature identical flavouring substances, onion
powder, spice extract blend, maltodextrin, capsicum extract,
black pepper bits, dehydrated coriander leaves, palm oil, red
chilli flakes (1%) and rosemary extract.","['en:e392', 'en:e412', 'en:e451', 'en:e500', 'en:e501', 'en:e635']"
8904256709811,Himalayan Pink Salt,"Bb, bb GoodDiet",,himalayan-pink-salt-8904256709811,INDEX,80,True,,natural rock salt,[]
8904011504736,Synthetic Vinegar,Double Horse,Vinegars,synthetic-vinegar-8904011504736,INDEX,85,True,,water 95% and acetic acid 5%,['en:e260']
8901662036968,Sambar Masala,Suhana,spice mix,sambar-masala-8901662036968,INDEX,100,True,,"coriander, rice flour, chilli, cumin, fenugreek seeds, spices & condiments. minimum spice content 40%",[]
8908012784098,Gopi Makai poha,Gopi,,gopi-makai-poha-8908012784098,INDEX,80,True,,processed maize & lodized salt,[]
8906159980007,Humpy Farms A2 Milk,Humpy Farms,Milks,humpy-farms-a2-milk-8906159980007,INDEX,80,True,,cow milk,[]
3168930163695,Lay's saveur barbecue 250 g  10% offert,"Lay's, Lays","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Snacks salés, Amuse-gueules, Chips et frites, Chips, Chips de pommes de terre, Chips de pommes de terre aromatisées, Chips barbecue",lays-saveur-barbecue-250-g-10-offert-3168930163695,INDEX,85,True,,"potatoes,vegetable oils (sunflower, rapeseed, maize, in variable proportions), barbecue flavouring base (sugar, flavouring (including <span class=""allergen"">soy</span>), paprika, onion powder, tomato powder, garlic powder, acidity regulators (citric acid, malic acid), colour (paprika extract), smoke flavourings), salt","['en:e160c', 'en:e296', 'en:e330']"
8906216141280,Raw peanuts,Unknown Brand,,raw-peanuts-8906216141280,INDEX,95,True,,"<span class=""allergen"">peanuts</span>",[]
8906161391570,Crunchy Party Mix,Let's Try,,crunchy-party-mix-8906161391570,INDEX,95,True,,"edible vegetable oil (refined groundnut oil), chick peas (30%), <span class=""allergen"">peanuts</span> (20%), chana dal (10%), green peas (10%), chickpeas pulse flour, potato, starch, *spice and condiments (red chilli powder, cumin powder, white pepper powder, black pepper powder, dried mango powder, cardamom powder, clove powder, nutmeg powder, mace powder, star anise powder, mint powder and asafoetida), lodised salt and acidity regulator (ins 330). * used as natural flavouring agent. allergen information:contains <span class=""allergen"">peanut</span>.",['en:e330']
7801610001974,Coca Cola,Coca-Cola,"Bebidas, Bebidas carbonatadas, Sodas, Bebidas de cola, Bebidas azucaradas",coca-cola-7801610001974,INDEX,85,True,,"ingredientes: agua carbonatada, azucar, color carel0,acdo fosporc
saborizantes naturales y cafeina, envase no retornable consumir te
4 meses a partir de la fecha de elaboracion, fabricaoon chilenamat
lugar fresco, secoy protegido del sol. coca-colay coca-cola gri
marcas registradas de the coca-cola company,207 the coccol
informacion al consumidor: 800 219999
este envase tiene 5 pordones de 200 ml. cada pordion de 1 vaso (200 m) conti","['en:e150a', 'en:e338']"
7622210827845,Oreo,oreo,"Botanas, Snacks dulces, Galletas y pasteles, Galletas, Galletas rellenas",oreo-7622210827845,INDEX,85,True,,"azúcares añadidos (azucar, jarabe de maiz), harina de trigo, grasa vegetal, aceite vegetal, cocoa, bicarbonato de sodio, salvodada lecitina de sova fosfato monocálcico, bicarbonato de amonio, pasta de cacao, saborizante artificial (vainilla)","['en:e500', 'en:e500ii', 'en:e503', 'en:e503ii']"
9300675084147,vanilla coke,Coca-cola,,vanilla-coke-9300675084147,INDEX,80,True,,"carbonated water, sugar, colour (150d), food acid (338), flavour, caffeine.","['en:e150d', 'en:e338']"
8908018847247,Death by Chocolate Chocobar,The Brooklyn Creamery,,death-by-chocolate-chocobar-8908018847247,INDEX,95,True,,"medium fat ice cream (75%): water, milk solids (cow), sweeteners blend [maltitol, stevia (steviol glycoside]]. dietary fiber (oligofructose), cocoa solids 4.3% {501(i)), stabilizers (410, 412), emulsifiers (471, 477), natural flavoring substance (vanilla). outer chocodip coating (25%): sweeteners (maltitol), edible vegetable oil (palm oil, palm kernel oil), cocoa butter, cocoa mass, emulsifiers [322(i), 476]. nature identical flavoring substance (vanillin), edible vegetable oil (coconut). allergen: contains milk & soy.","['en:e322', 'en:e410', 'en:e412', 'en:e471', 'en:e476', 'en:e477', 'en:e960', 'en:e965']"
8899120003181,Plain Appalam (Size No. 7),Madurai Mayil Mark Appalam,Appalam (Papad/Papadum),plain-appalam-size-no-7-8899120003181,INDEX,100,True,,"orid flour, sodium bi-carbonate salt, rice flour edible oil, cumin seed.",[]
8906135070227,Jowar Millet Flakes,nativefoodstore,,jowar-millet-flakes-8906135070227,INDEX,80,True,,jowar millet flakes,[]
8904043926582,Masoor Dal,Tata Sampann,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Legumes,Seeds,Legume seeds,Pulses",masoor-dal-8904043926582,INDEX,80,True,,masoor dal,[]
8906117361428,Taaza Paneer,Country Delight,,taaza-paneer-8906117361428,INDEX,95,True,,pasteurized milk and lemon concentrate (0.43%),[]
8906027122782,soya sauce,SAMS,Soy sauces,soya-sauce-8906027122782,INDEX,100,True,,"water, soya bean extract, caramel (e-150c), salt, acidity regulator (e-260), thickener (e-415), permitted class ii preservatives","['en:e150c', 'en:e260', 'en:e415']"
8906019771400,Californian Almond,Nutraj,Almonds,californian-almond-8906019771400,INDEX,100,True,,californian almonds,[]
8906069403306,VEEBA PEANUT BUTTER UNSWEETENED,VEEBA,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Spreads,Plant-based spreads,Oilseed purees,Legume butters,Peanut butters",veeba-peanut-butter-unsweetened-8906069403306,INDEX,100,True,,roasted peanuts (100.0%).,[]
8901725120672,Mixed fruit juice,B natural,Juice,mixed-fruit-juice-8901725120672,INDEX,100,True,,"apple juice (48%), water, pineapple pulp (8%), orange pulp (7%), mango pulp (5.7%), banana puree (2.9%), guava pulp (1.4%), natural flavours and natural flavouring substances, acidity regulator (ins 330), vitamin c, colour (ins 160a(iii)) and stabilizer (ins 440). may contains<span class=""allergen"">: milk</span>, nut & soy no added sugar.","['en:e160a', 'en:e160aiii', 'en:e330', 'en:e440']"
8909081013737,Strawberry Smoothie,Sunfeast,"Beverages and beverages preparations,Beverages",strawberry-smoothie-8909081013737,INDEX,100,True,[Sunset Yellow (INS 110 - EU Warning Label)] [Carmoisine / Azorubine (INS 122 - EU Warning / US Banned)] ,"water, milk solids (33.5%), sugar, strawberry pulp (7.4%), banana puree, strawberry chunks (3.9%), nata de coco, stabilizers (466,418), acidity regulator (330), nature identical flavouring substances, chia seeds (0.16%), natural flavours and natural flavouring substances, antioxidant (300), sweetener (960) and colours (122, 110).","['en:e110', 'en:e122', 'en:e300', 'en:e330', 'en:e418', 'en:e466', 'en:e960']"
8901262260947,Buffalo Milk A2,Amul,"milk,Milk products",buffalo-milk-a2-8901262260947,INDEX,100,True,,"<span class=""allergen"">milk</span>",[]
8901063162518,Mari Gold,Unknown Brand,Cookies,mari-gold-8901063162518,INDEX,100,True,[Sunset Yellow (INS 110 - EU Warning Label)] ,"refined wheat flour (maida) (73%), sugar, refined palm oil, invert sugar syrup, milk products (milk solids&sweetened condensed partly skimmed milk), raising agents [503(ii) & 500(ii)], iodised salt, minerals**, artificial (<span class=""allergen"">milk</span> & vanilla) & nature identical flavouring substances, emulsifier (472e), dough conditioner (223), vitamins"", colour (150d) and improver (1101(i))","['en:e1101', 'en:e150d', 'en:e223', 'en:e472e', 'en:e500', 'en:e503']"
7622202304309,Cadbury hot chocolate pwd 200g,,,cadbury-hot-chocolate-pwd-200g-7622202304309,INDEX,90,True,,"sugar, cocoa powder artificial (vanitial flavouring substances",[]
8906027948993,Mexican Style Rice,Eat Regal,"en:meals,en:rice-dishes,en:risottos,en:risotto-with-cheese",mexican-style-rice-8906027948993,INDEX,85,True,,"water, long grain white rice, red kidney beans, tomato, salsa sauce (tomato, sugar, salt, onion, coriander, capsicum, jalapeno, lemon), sweet corn, bell pepper, refined sunflower oil, garlic, vinegar, salt, jalapeno, dmg (e 471, vegetable), lemon, sugar, silicon dioxide.",['en:e471']
8901491100106,Rolled Oats (Natural Wholegrain),Quaker,,rolled-oats-natural-wholegrain-8901491100106,INDEX,95,True,,rolled oats,[]
8904011302844,Gold Milk,Aavin,Milk,gold-milk-8904011302844,INDEX,100,True,,milk & milk solids,[]
8906059160110,Regency Apricots Dried,Regency,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Dried products,Dried plant-based foods,Dried fruits,Dried apricots",regency-apricots-dried-8906059160110,INDEX,85,True,,dried apricots,[]
4019041009503,Peanut laddu,Schani,"Snacks,Snacks sucrés,Cacahuètes caramélisées",peanut-laddu-4019041009503,INDEX,100,True,,"peanut (53%), jaggery (25%), sugar (15%), liquid glucose (7%).",[]
8901808000990,Caramel Custard,WeiKFiELD,,caramel-custard-8901808000990,INDEX,80,True,,weikfield since 1956 caramel custard mix (as prepared)* contains jium 301 r 16 au suggestion,[]
8906053813166,Jaggery Powder,Paawak,Jaggery,jaggery-powder-8906053813166,INDEX,80,True,,jaggery,[]
8901148246102,Rebalanz vitors,Dr Reddy's,Oral rehydration solution,rebalanz-vitors-8901148246102,INDEX,100,True,[Sunset Yellow (INS 110 - EU Warning Label)] ,"water, sugar, orange juice concentrate (1.75%*), dextrose (1.35%), acidity regulator (ins 330), sodium citrate (0.29%). potassium chloride (0.15%), sodium chloride (0.125%), flavour (nature identical flavouring substances), vitamin c. colour (ins 110).","['en:e110', 'en:e125', 'en:e330', 'en:e331']"
3168930166931,Lays doritos box apero x20 625g,Lays,,lays-doritos-box-apero-x20-625g-3168930166931,INDEX,80,True,,à déterminer,[]
8906016411606,Godrej Jersey Doodh Peda,Godrej Jersey,"Produits laitiers,Desserts,Desserts lactés",godrej-jersey-doodh-peda-8906016411606,INDEX,100,True,,milk solids & sugar,[]
8906069612371,Jolliz Namkeen Cream Onion Chips,Anand,Namkeen,jolliz-namkeen-cream-onion-chips-8906069612371,INDEX,100,True,,"potatoes (88%), edible vegetable oil (palmolein), sugar, iodized salt, onion powder, cheese powder, milk solids, maltodextrin, dextrose, dehydrated herbs, acidity regulator (ins 330, ins 296), anticaking agent (ins 551), antioxidant (ins 319).","['en:e296', 'en:e319', 'en:e330', 'en:e551']"
8901808007722,Cornflour,Weikifield,cornflour,cornflour-8901808007722,INDEX,85,True,,maize starch (sulphur dioxide),['en:e220']
5449000229878,Zero sugar Coke glass bottles,Coca-Cola,,zero-sugar-coke-glass-bottles-5449000229878,INDEX,80,True,[Aspartame (INS 951 - IARC Group 2B Carcinogen)] ,"carbonated water, colour (caramel e150d), phosphoric acid, sweeteners (aspartame, acesulfame k), natural flavourings including caffeine, acidity regulator (sodium citrate), contains a source of phenylalanine,","['en:e150d', 'en:e331', 'en:e338', 'en:e950', 'en:e951']"
8904494110066,Whole Wheat  Bread,Naturbaked,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Breads",whole-wheat-bread-8904494110066,INDEX,100,True,,"<span class=""allergen"">wheat flour</span> (atta 86%), yeast, sugar, wheat gluten, an 1odized salt, edible vegetable oil (rice bran), fermented wheat flour, malt powder, maize starch, processing aids.",[]
8902027006282,Brown Bread,"Kitty,Bimbo","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Breads",brown-bread-8902027006282,INDEX,100,True,,"whole wheat flour (atta) (32.7%), refined wheat flour (maida)(27.3%), yeast, sugar, gluten, wheat bran, iodized salt, edible vegetable oil (refined rice bran oil, refined palmolein oil), preservatives (282, 200) emulsifiers (472e), acidity regulators (341(1), 270, 297), antioxidant (300)","['en:e270', 'en:e282', 'en:e297', 'en:e300', 'en:e341', 'en:e472e']"
8904314500046,Jus Coco Coconut Water,Jus Coco,Coconut water,jus-coco-coconut-water-8904314500046,INDEX,85,True,,"water, coconut water concentrate, preservatives (e234 and e202).","['en:e202', 'en:e234']"
8906147170700,Teju Mixed Pickle,Teju,"Plant-based foods and beverages,Plant-based foods,Pickles",teju-mixed-pickle-8906147170700,INDEX,85,True,,"mango, carrot, lemon, green chilli, green tomato, chilli powder, fenugreek, cumin, mustard, split mustard seeds, rice bran oil, salt turmeric powder, hingu, curry leaves, acetic acid, permitted class preservative ins260, ins211","['en:e211', 'en:e260']"
8906108306162,Medjoul Dates,Popular,dates,medjoul-dates-8906108306162,INDEX,80,True,,dates,[]
8901648024682,Ice Cream,Mother Diary,,ice-cream-8901648024682,INDEX,95,True,,"water, milk solids, sugar, stabilizers energy: 217 kca 21.5 g. total sup and emulsifiers (412,410, 407, 471,466), nature - fdentical flavouring substance and colour (160a).","['en:e160a', 'en:e407', 'en:e410', 'en:e412', 'en:e466', 'en:e471']"
5449000009067,Coca Cola Regular 2L,Coca-Cola,,coca-cola-regular-2l-5449000009067,INDEX,80,True,,"carbonated water, sugar, coloring e-150d, acidulant (phosphoric acid), natural flavorings (contains caffeine)",['en:e338']
8906159751119,Nabati CocoLava Coconut Flavoured Cream Wafer Biscuits,Nabati,Stuffed wafers,nabati-cocolava-coconut-flavoured-cream-wafer-biscuits-8906159751119,INDEX,100,True,[Sunset Yellow (INS 110 - EU Warning Label)] ,"cream (sugar, re... tam vien (antioxidant (ins 307b)) maltodextrin, filling premix for wafer biscuits (glucose syrup, refined palm oil, sodium caseinate, modified starch (ins 1440), acidity regulator (ins 340(ii)), emulsifier (ins 331 (iii), ins 471), anticaking agent (ins 551)), whey powder, lodized salt, artificial flavouring substances (coconut), emulsifier (ins 322(i)), natural colours (ins 141(i), ins 100(i))). wafer sheet (refined wheat flour (maida), refined palm olein, lodized salt, raising agent (ins 500(ii)). emulsifier (ins 322), flour treatment agent (ins 1101 (i))). numbers in the bracket as per international numbering system 
allergen : contains wheat, milk and soya","['en:e141', 'en:e141i', 'en:e1440', 'en:e14xx', 'en:e307b', 'en:e322', 'en:e322i', 'en:e331', 'en:e331iii', 'en:e340', 'en:e340ii', 'en:e471', 'en:e500', 'en:e500ii', 'en:e551']"
8901042970738,Minute Fresh Idli Batter,MTR,"Idli Batter, en:cooking-helpers",minute-fresh-idli-batter-8901042970738,INDEX,100,True,,"ro purified water, rice suji, black gram (13%) and lodised salt. allergen advice: may contains wheat gluten.",[]
8909081011962,Marie Light,Sunfeast,,marie-light-8909081011962,INDEX,95,True,,"refined wheat flour (maida) 66.6%, sugar, refined palm oil, invert syrup, milk solids, raising agents, iodised salt, nature identical flavouring substances, ins 223, emulsifier, diacetyltartaric and fatty acid esters of glycerol, artificial flavouring substances (milk, vanilla), mineral, ins 150d, vitamins.","['en:e150d', 'en:e223', 'en:e422']"
8906036674524,Paneer,Nandini,,paneer-8906036674524,INDEX,95,True,,"milk solids, glucono delta-lactone",['en:e575']
8906059637605,Turbo Protein Milk,Epigamia,Milk,turbo-protein-milk-8906059637605,INDEX,100,True,,"ultrafiltered skimmed milk, lactase enzyme",[]
9901863200662,Mathri,Haldiram's,Snacks,mathri-9901863200662,INDEX,100,True,,"refined wheat flour (maida) (64%), edible vegetable oil (palmolein oil), hydrogenated vegetable oil, dried ginger, iodised salt, black pepper, red chilli powder, fenugreek leaves, bishops seed & turmeric powder.",[]
8908024066816,Frozen Blueberry,Pluckk,Frozen blueberries,frozen-blueberry-8908024066816,INDEX,100,True,,blueberries,[]
8908019758276,proV Almonds,proV,Almonds,prov-almonds-8908019758276,INDEX,100,True,,almond kernels,[]
8908000861947,Nylon chivda,Gopal Namkeen,,nylon-chivda-8908000861947,INDEX,95,True,,"edible vegetable oil (palmolein oil) (34%), rice flakes (30%), gram flour (24%), sugar, turmeric powder and edible common salt.",[]
8906032010012,Ruchi gold Oil,Ruchi Gold,"Plant-based foods and beverages, Plant-based foods, Fats, Vegetable fats, Vegetable oils, Palm oils, Palm oil refined",ruchi-gold-oil-8906032010012,INDEX,100,True,,refined palmolein oil,[]
8902080013258,mango delight,Tropicana,"Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, RECONSTITUTED BEVERAGE",mango-delight-8902080013258,INDEX,100,True,,"water, sugar, &quot;concentrated mango pulp and alphonso mango pulp (20%), acidity regulators (330), flavour (natural and nature dentical flavouring substances), colour (160a)). 22% mango pulp in reconstituted beverage","['en:e160a', 'en:e330']"
8906006786448,Ginger garlic paste,Surabhi,Sauces and Condiments variety packs,ginger-garlic-paste-8906006786448,INDEX,100,True,,"ginger, garlic, lodized salt, water, acidity regulator (ins330, ins260), stabilizer (ins415), preservative (ins211) contains permitted class ii preservatives (ins211) allergy","['en:e211', 'en:e260', 'en:e330', 'en:e415']"
5352205057378,Coca cola,Coca-Cola,"Beverages and beverages preparations, Beverages, Carbonated drinks, Sodas, Colas, en:sweetened-beverages",coca-cola-5352205057378,INDEX,85,True,,"koolzuurhoudend water, suiker, kleurstof: e150d, fosforzuur, natuurlijke aroma's, cafeïne aroma",['en:e150d']
8920002022515,Red Chilli Sauce,Chendur,,red-chilli-sauce-8920002022515,INDEX,95,True,,"aqua, red chillies, dehydrated maize, salt, acetic acid, stabilizer e1442/e1422 (0.5%) and spices & condiments.
contains permitted class ii preservative (e211)","['en:e1422', 'en:e1442', 'en:e211', 'en:e260']"
8906143890473,The Whole Truth 71% Dark Chocolate,The Whole Truth,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,No Added Flavour,No Added Sugar,No Erythritol,No Maltitol,No Preservatives,No Stevia",the-whole-truth-71-dark-chocolate-8906143890473,INDEX,100,True,,"cocoa(cocoa nibs (51%), cocoa butter (20%)), date powder(29%)",[]
