barcode,product_name,brands,categories,slug,seo_status,seo_quality_score,has_ingredients,banned_reasons,ingredients_text,additives_tags
0012000171888,Diet Pepsi,Pepsi,"Beverages,Carbonated drinks,Artificially sweetened beverages,Sodas,Diet beverages,Colas,Diet sodas,Diet cola soft drink",diet-pepsi-0012000171888,NOINDEX,75,True,[Aspartame (INS 951 - IARC Group 2B Carcinogen)] ,"carbonated water, caramel color, aspartame, phosphoric acid, potassium benzoate (preserves freshness), caffeine, citric acid, natural flavor, acesulfame potassium.","['en:e150c', 'en:e212', 'en:e330', 'en:e338', 'en:e950', 'en:e951']"
2010211563247,Ginger Soup,ファミマルKitchen,惣菜,ginger-soup-2010211563247,NOINDEX,55,True,[Sunset Yellow (INS 110 - EU Warning Label)] ,生姜入り和風スープゼラチン(国内製造)ゆで押麦・大麦、野菜煮(玉ねぎ、白菜、きざみ昆布、食塩、粉末だし)、そぼろ炒め、人参者、味れんこん(れんこん水煮、ごま、醤油加工品)ゆで枝豆たれ和え、ゆで葉大根、生姜酢漬/ph調整剤、増粘剤(加工デンプン、キサンタン)、調味料(アミノ酸等)酒情、カラメル色素、加工デンプン、酢酸ca、メタリン酸na、酸化防止剤(v.c)、酸味料、リゾチーム、ミョウバン、漂白剤(次亜硫酸na)、(一部に小麦・卵・ごま・大豆・鶏肉・ゼラチンを含む),"['en:e1105', 'en:e14xx', 'en:e150a', 'en:e263', 'en:e415']"
5000328741901,Chilli Heatwave Tortilla Chips,Doritos,"Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Corn chips",chilli-heatwave-tortilla-chips-5000328741901,NOINDEX,75,True,[MSG / Monosodium Glutamate (INS 621 - Infant Restricted FSSAI)] ,"corn (maize), vegetable oils (corn, sunflower, rapeseed, in varying proportions), flavouring (sugar, flavourings (contains _soya_, _wheat_), hydrolysed _soya_ protein, acidity regulators (sodium acetates), flavour enhancers (monosodium glutamate, disodium 5'-ribonucleotides), onion powder, salt, garlic powder, acids (citric acid, malic acid), potassium chloride, _soybean_, _wheat_, colour (paprika extract)).","['en:e160c', 'en:e262', 'en:e296', 'en:e330', 'en:e621', 'en:e635']"
4901777402010,Lemon Big Zero 〈生〉,"Pepsi Japan,Pepsi","en:Beverages and beverages preparations,飲料,炭酸飲料",lemon-big-zero-4901777402010,NOINDEX,75,True,[Aspartame (INS 951 - IARC Group 2B Carcinogen)] ,"salt, carbonic acid, caramel pigment, acidulant, flavor, citric acid k, sweetener (aspartame (l-phenylalanine compound), acesulfame potassium, sucralose), caffeine","['en:e150a', 'en:e950', 'en:e951', 'en:e955']"
5000159476263,M &M'S 300 G ?,"M&M's, Mars","Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Confiseries chocolatées, Bonbons de chocolat, en:Chocolate covered nuts and fruits, Fruits à coques enrobés de chocolat, Cacahuètes au chocolat",m-ms-300-g-5000159476263,NOINDEX,75,True,[Titanium Dioxide (E171 / INS 171 - EU Banned)] ,"sucre, _cacahuètes_, pâte de cacao, _lait_ écrémé en poudre, _lactose_ et protéines de _lait_, beurre de cacao, matière grasse de palme, matière grasse du lait (_lait_), amidon, sirop de glucose, matière grasse de karité, émulsifiant (lécithine de _soja_), lactose, stabilisant (gomme arabique), colorants (e100, e120, e133, e160a, e171), dextrine, agent d'enrobage (cire de carnauba), huile de palme, sel, arômes.","['en:e100', 'en:e120', 'en:e133', 'en:e1400', 'en:e160a', 'en:e171', 'en:e322', 'en:e322i', 'en:e414', 'en:e903']"
5000328016245,Triple cheese pizza,Doritos,,triple-cheese-pizza-5000328016245,NOINDEX,70,True,[MSG / Monosodium Glutamate (INS 621 - Infant Restricted FSSAI)] ,"corn (71%) (maize), sunflower oil, triple cheese seasoning [flavourings (contain milk), sugar, tomato powder, potassium chloride, salt, cheese powder (from milk), flavour enhancers (monosodium glutamate, disodium 5'-ribonucleotide), buttermilk powder, onion powder, garlic powder, yeast powder, black pepper, whey powder (from milk), colour (paprika extract), antioxidant (rosemary extract), rapeseed oil best before: huawei p30 pro leica quad camera 1.8g 2.0g 0.27g(5%*) allergy advice contains: see highlighted ingredients. may contain: wheat, gluten, barley, soya suitable for vegetarians","['en:e160c', 'en:e392', 'en:e621', 'en:e635']"
7501011167735,Nacho,"Doritos, Sabritas",,nacho-7501011167735,NOINDEX,70,True,[Tartrazine (INS 102 - EU Warning Label)] [Sunset Yellow (INS 110 - EU Warning Label)] [MSG / Monosodium Glutamate (INS 621 - Infant Restricted FSSAI)] ,"corn nixtamalizado, vegetable oil, seasoning, cheese, starch, iodized salt, maltodextrin, monosodium glutamate, spices, flavorings, rice flour, chilies, sugar, wheat flour, aácido citric, inosinato sodium guanylate sodium, partially hydrogenated soybean oil, sugar, peofaina hydrolyzed vegetable maize, sunset yellow fcf, modified starch, solids of the milk, tartrazine, lactic acid], annatto","['en:e102', 'en:e110', 'en:e14xx', 'en:e160b', 'en:e270', 'en:e621']"
5050083943683,Pringles texas BBQ sauce,Pringles,"Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Salty snacks made from potato",pringles-texas-bbq-sauce-5050083943683,NOINDEX,75,True,[MSG / Monosodium Glutamate (INS 621 - Infant Restricted FSSAI)] ,"dried potatoes,
vegetable oil (corn, cottonseed, high oleic soybean, and/or sunflower oil),
degerminated yellow corn flour,
cornstarch,
rice flour,
maltodextrin,
sugar,
mono - and diglycerides,
contains 2% or less of salt, 
tomato powder, 
monosodium glutamate,
citric acid, 
onion powder,
spice,
garlic powder, 
yeast extract, 
hydrolyzed corn protein, 
<span class=""allergen"">malted barley flour</span>, 
malic acid,
disodium inosinate, 
disodium guanylate,
paprika extract color 
natural flavors
whey, 
wheat starch","['en:e296', 'en:e330', 'en:e471', 'en:e621', 'en:e627', 'en:e631']"
4600680030296,Nuts,Nestlé,,nuts-4600680030296,NOINDEX,70,True,[MSG / Monosodium Glutamate (INS 621 - Infant Restricted FSSAI)] ,"potato flakes, palm oil, salt, sugar, flavor enhancer (monosodium glutamate), onion powder, garlic powder, spices, natural flavoring, color (paprika extract)","['en:e160c', 'en:e621']"
0012000801655,Pepsi mini,"Pepsi,PepsiCo","Boissons et préparations de boissons,Boissons,Boissons gazeuses,Sodas,Boissons avec sucre ajouté",pepsi-mini-0012000801655,NOINDEX,75,True,[Aspartame (INS 951 - IARC Group 2B Carcinogen)] ,"carbonated water, sugar, citric acid, sodium citrate, flavor, aspartame, acesulfame potassium, caffeine, gum arabic, sodium benzoate, color (caramel e150d)","['en:e150d', 'en:e211', 'en:e330', 'en:e331', 'en:e414', 'en:e950', 'en:e951']"
