barcode,product_name,brands,categories,slug,seo_status,seo_quality_score,has_ingredients,banned_reasons,ingredients_text,additives_tags
8906101940059,nikhar mhendi,,,nikhar-mhendi-8906101940059,NOINDEX,45,False,,,
7622202815423,Cadbury mini treat 128.7g,,,cadbury-mini-treat-1287g-7622202815423,NOINDEX,45,False,,,
8901052087792,Tetley green tea,Tetley,tea,tetley-green-tea-8901052087792,NOINDEX,55,False,,,
8901233023687,FUSE,Cadbury,,fuse-8901233023687,NOINDEX,50,False,,,[]
8901542001857,Glucon-d,Glucon-d,,glucon-d-8901542001857,NOINDEX,50,False,,,[]
8906005622266,pepper powder,mayil,,pepper-powder-8906005622266,NOINDEX,35,False,,,
8904037203873,Noni juice,Modicare,,noni-juice-8904037203873,NOINDEX,50,False,,,[]
8909790001452,Chanachour,,,chanachour-8909790001452,NOINDEX,30,False,,,
8901719112393,Parle G,Parle,Biscuits,parle-g-8901719112393,NOINDEX,55,False,,,
8901030574252,3 roses,Brooke Bond,,3-roses-8901030574252,NOINDEX,35,False,,,
8901888005304,Meil himalaya,Dabur,en:honeys,meil-himalaya-8901888005304,NOINDEX,40,False,,,
8901719117978,parle,parle,Hhhh,parle-8901719117978,NOINDEX,55,False,,,
8904045812548,Potatoes chips,Royal,,potatoes-chips-8904045812548,NOINDEX,35,False,,,
8901548100394,Nutralite mayo 300 g,,,nutralite-mayo-300-g-8901548100394,NOINDEX,45,False,,,
8906068800038,кюпен юниор,,,product-8906068800038,NOINDEX,30,False,,,
8906032014843,mahahkosh,,,mahahkosh-8906032014843,NOINDEX,45,False,,,
8901719116971,Milano,,,milano-8901719116971,NOINDEX,45,False,,,
6934177719929,Ppp,,,ppp-6934177719929,NOINDEX,45,False,,,
8901063025394,Milk. Bikis,Britannia,,milk-bikis-8901063025394,NOINDEX,35,False,,,[]
8906002525430,ZKhusboo,,,zkhusboo-8906002525430,NOINDEX,45,False,,,
8904178401053,calrich,,,calrich-8904178401053,NOINDEX,30,False,,,
8901138834913,Homalaya,,,homalaya-8901138834913,NOINDEX,30,False,,,
0000000018964,OKACET 10MG TABLET,,,okacet-10mg-tablet-0000000018964,NOINDEX,45,False,,,
8904091117703,Relcer ANTACID 180 ml.,,,relcer-antacid-180-ml-8904091117703,NOINDEX,30,False,,,
9788120288034,book,,,book-9788120288034,NOINDEX,45,False,,,
8902901033519,GL pulses mix 500g,,,gl-pulses-mix-500g-8902901033519,NOINDEX,45,False,,,
8908001700320,Desi Ghee,,,desi-ghee-8908001700320,NOINDEX,45,False,,,
3653584142078,acetic acid,sarwar,Acid,acetic-acid-3653584142078,NOINDEX,55,False,,,
7622201138486,Bournville,Cadbury,,bournville-7622201138486,NOINDEX,50,False,,,
8904064617308,Sago,Annam,,sago-8904064617308,NOINDEX,35,False,,,
7622201717926,Lickables,Cadbury,,lickables-7622201717926,NOINDEX,50,False,,,
8906040919017,Amla Powder,,,amla-powder-8906040919017,NOINDEX,30,False,,,
8901063164291,Tiger biscuit,,,tiger-biscuit-8901063164291,NOINDEX,45,False,,,
8901719124860,parle,Parle,,parle-8901719124860,NOINDEX,50,False,,,
8903794000008,puffed rise,,,puffed-rise-8903794000008,NOINDEX,30,False,,,
8906023940021,Guruji,,,guruji-8906023940021,NOINDEX,45,False,,,
8904011505016,double horse,,,double-horse-8904011505016,NOINDEX,30,False,,,
8906151420068,best chiwda,,,best-chiwda-8906151420068,NOINDEX,45,False,,,
8902901108880,SHREE,,,shree-8902901108880,NOINDEX,45,False,,,
8906012312679,gee,tapan group,Preet lite,gee-8906012312679,NOINDEX,40,False,,,
8906078260068,CASHEW COOKIES,,,cashew-cookies-8906078260068,NOINDEX,30,False,,,
8902901223354,Rice flakes,Good Life,,rice-flakes-8902901223354,NOINDEX,35,False,,,
8904132912793,Snactac bel,,,snactac-bel-8904132912793,NOINDEX,30,False,,,
8901848000059,Rasna,,,rasna-8901848000059,NOINDEX,45,False,,,
8902121000520,presto mixed pickle,,,presto-mixed-pickle-8902121000520,NOINDEX,45,False,,,
8906144634380,Xfin,250,,xfin-8906144634380,NOINDEX,35,False,,,
8622262766016,Bourn Vita 5Star,,,bourn-vita-5star-8622262766016,NOINDEX,45,False,,,
8901414000872,Dal Moth,,,dal-moth-8901414000872,NOINDEX,30,False,,,
8997240890145,Npure,,,npure-8997240890145,NOINDEX,45,False,,,
8901399001819,Max Kleen,,,max-kleen-8901399001819,NOINDEX,45,False,,,
8902167000034,Deggi mirch,MDH,,deggi-mirch-8902167000034,NOINDEX,35,False,,,
8901030781070,Green Tea,Lipton,,green-tea-8901030781070,NOINDEX,50,False,,,
8901542001796,Explore Knowledge world,Complan,,explore-knowledge-world-8901542001796,NOINDEX,50,False,,,
8901042956039,MTR lime pickle 500g,,,mtr-lime-pickle-500g-8901042956039,NOINDEX,45,False,,,
0000891224696,Rajma chitra 500g,,,rajma-chitra-500g-0000891224696,NOINDEX,45,False,,,
6291101138370,Caprice,Papadopoulos,,caprice-6291101138370,NOINDEX,50,False,,,
8901548310182,complan,,,complan-8901548310182,NOINDEX,30,False,,,
