id,additive_code,ins_number,canonical_name,functional_class,jurisdiction,status,max_level_value,max_level_unit,label_requirement,regulation_title,source_url,verified_at,verification_status,created_at
2,E102,102,Tartrazine,Colorant,EU,requires_warning,,,May have an adverse effect on activity and attention in children,EU Regulation 1333/2008 Annex V,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32008R1333,,verified,2026-07-29T07:01:20.671216+00:00
7,E150D,150d,Sulphite Ammonia Caramel,Colorant,US,requires_warning,,,Prop 65 Cancer warning required if 4-MEI exceeds 29 mcg/day,Cal. Code Regs. tit. 27 § 27001,https://oehha.ca.gov/proposition-65,,verified,2026-07-29T07:01:20.671216+00:00
15,E319,319,TBHQ (Tertiary Butylhydroquinone),Antioxidant,JP,banned,,,Banned due to immunotoxicity concerns,Japan Food Sanitation Act,https://www.mhlw.go.jp,,verified,2026-07-29T07:01:20.671216+00:00
32,E621,621,Monosodium Glutamate (MSG),Flavor Enhancer,IN,restricted,10000.0,mg/kg,Prohibited in food for infants under 12 months with mandatory label disclosure,FSSAI Regulation 2.4.5,https://www.fssai.gov.in,,verified,2026-07-29T07:01:20.671216+00:00
35,E924A,924a,Potassium Bromate,Flour Treatment Agent,IN,banned,,,Prohibited as flour treatment agent due to carcinogenicity,FSSAI Prohibition Notification 2016,https://www.fssai.gov.in,,verified,2026-07-29T07:01:20.671216+00:00
39,E102,,Tartrazine,,UK,requires_warning,100.0,mg/kg,Must carry warning: May have an adverse effect on activity and attention in children,UK Regulation (EC) No 1333/2008 Annex V,https://www.food.gov.uk/safety-hygiene/food-additives,,verified_official,2026-07-29T12:40:02.929719+00:00
42,E110,,Sunset Yellow FCF,,UK,requires_warning,50.0,mg/kg,Must carry warning: May have an adverse effect on activity and attention in children,UK Regulation (EC) No 1333/2008 Annex V,https://www.food.gov.uk/safety-hygiene/food-additives,,verified_official,2026-07-29T12:40:02.929719+00:00
45,E127,,Erythrosine,,US,banned,0.0,mg/kg,FD&C Red No. 3 authorisation revoked for food and ingested drugs,21 CFR § 74.303 / FDA Notice 2024,https://www.fda.gov/food/cfsan-constituent-updates/fda-revokes-authorization-fdc-red-no-3,,verified_official,2026-07-29T12:40:02.929719+00:00
46,E127,,Erythrosine,,EU,restricted,200.0,mg/kg,Restricted exclusively to cocktail cherries and candied cherries,Regulation (EC) No 1333/2008,https://food.ec.europa.eu/safety/food-additives_en,,verified_official,2026-07-29T12:40:02.929719+00:00
8,E171,171,Titanium Dioxide,Colorant,EU,banned,0.0,mg/kg,Titanium dioxide is no longer authorised as a food additive in the EU,Regulation (EU) 2022/617,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2021.6585,,verified_official,2026-07-29T07:01:20.671216+00:00
49,E171,,Titanium Dioxide,,UK,restricted,0.0,GMP,Northern Ireland restriction per EU rules; UK FSA under review,UK FSA Statement 2022,https://www.food.gov.uk,,verified_official,2026-07-29T12:40:02.929719+00:00
36,E951,951,Aspartame,Artificial Sweetener,IN,requires_warning,700.0,mg/kg,Mandatory warning: CONTAINS ASPARTAME. CONTAINS PHENYLALANINE.,FSSAI Labelling Regulations,https://www.fssai.gov.in,,verified_official,2026-07-29T07:01:20.671216+00:00
52,E951,,Aspartame,,US,requires_warning,50.0,mg/kg bw/day,Mandatory warning for phenylketonurics: CONTAINS PHENYLALANINE.,21 CFR § 172.804,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfcfr/CFRSearch.cfm?fr=172.804,,verified_official,2026-07-29T12:40:02.929719+00:00
53,E951,,Aspartame,,EU,requires_warning,40.0,mg/kg bw/day,Mandatory warning label: Contains a source of phenylalanine.,Regulation (EU) No 1169/2011,https://food.ec.europa.eu,,verified_official,2026-07-29T12:40:02.929719+00:00
