barcode,product_name,brands
8904063226372,Veggie And Paneer Momos,Haldiram
8901242107408,Bambino roasted vermicelli,Bambino
8906151991032,Strawberry Ice Cream,Camerry
8908016501493,Peri Peri Momos,Hello Tempayy
01547979,Roasted Peanuts,Dev
8906010360405,Ghee,
8904001800282,Sesame Oil,Idayam
8901491983211,lays,Lay's
8901779902569,Oil,Saras
8906009079981,,
8906034814106,Hdjsjdj,
8906151236607,Millet Fingers Chatpata Masala,Snackible
8906035140204,Bengali Mixture,Chipo
8900201379610,Un chiffon,
8906020582002,Protein Rich Chapati,Fresh ID
8924405911216,Kaju pask,Tulasi
8904109621116,Malabar Paratha,Nik's Cuisine
8906197290250,Cotton Candy Bubble Gum Guilt Free Gelato,The Brooklyn Creamery
8908013479108,Coconut Cocoa Bar,The Whole Truth
8906165781568,Biozorb Iso Zero Low Carb,Muscleblaze
8906188960049,Pistachio Almond Cookies,Unibis
8904406288050,PACKA,
8908010946429,Sella Indian 1121 Basmati Rice,Alishaan
8905082000752,,
8901161124463,Basmati Rice,Qilla Premium
8906002660537,KLF,
9311770604857,Swisse 4x Strength Wild fish oil Concentrate,Swisse
11034631,,
8901052003389,TATA Kannan Devan,
8904023007584,hair oil,
8906006850903,Black Currant Ice Cream,Baskin Robbins
8901063162303,Marie gold,Britannia
8901721000152,,
8908012987895,ProBlend Whey Protein,Trunativ
8901314502186,Palmolive,
0723172772918,,
8901058017403,Kitkat raspberry chocolate,
8927681602694,,
8908001416146,,
8904008100682,,
8904232702348,The,
8901552034043,Garlic Naan,Ashoka
8901190107024,Organic peanut butter,
8901719136801,Hide&Seek Milano (Creme),Parle
8901063370166,Good day,
8908009059598,RuskPops (Cinnamon Rush),The Heath Factory
8901777620977,Classic Aloo Mutter Jumbo Puff,Vadilal
8906041816193,,
8906125301478,Choco Blast Gold,Pure Temptation
8906020493544,Lal kaju katli,
8901512949707,Peanut Butter Jaggery - Creamy,Sundrop
8906041811884,Choco Tron,
8903363014290,,
8906104383242,Whey Protein,Xlr8
8901709017707,Beef Mince,Allano
8908026096040,Bold Brown Bread,5 Minutes
8906005913715,Makhana - Roasted Indori Masala Flavour,Aakash
9062069378347,,
8906082374683,choco xplosion ice cream bar,mimo ice creams
8906081382672,Mango Thokku,SwethaTelugu
8908025188173,Hot Chocolate Fudge,Get-A-Way
8905694505768,ALPHONSO MANGO,Faranak
8906144490665,Cold Coffee Caramel Latte,Sleepy Owl
8908012692546,Daily Fiber,Wellbeing Nutrition
8901063369030,Cheeze Dipped Crunchy Layered Sandwich,Britannia
0001000896198,,
8906132870004,Keemaya Dates,Sahara Dates
8906081920072,"Biotin 10,000 Mcg Tablets Usp",Carbamide Forte
8906097330254,Organic Rice Poha,Parliament
8908001105989,Garam masala,only
0406491049687,Sapphire poko loko watermelon juice drink,Sapphire
3547871797808,pav bhaji masala,catch
8906074080714,Ragi,
8901414057494,Crunchy Munchy Sweet Chilli,Bikano
8906090831734,Seeraga samba rice,Grace
8901537004788,Heritage Basmati Rice Premium,Heritage
8906021121170,Aachi garam masala,Aachi
8901042954820,Mtr turmeric powder,MTR
8906090831444,White channa (chick peas),Grace
8906131684817,Millet pancake mix,Slurrp Farm
8906081380623,Palli karam podi,Swetha Telugu
8906066200601,Keya Oregano Seasoning,Keya
8906077361919,Roasted Curry Masala Chana,Jaimin
8906101703678,Amoxicilina polvo suspensión oral,
8901207002724,Trifla Churn,Dabur
8901725018122,,
8906078263861,Coconut Cookies,Cremica Mrs Bectors
8906151142786,Triple Calcium,Tata 1mg
8908014672003,Cremberie Natural Yoghurt plain,
8908013172887,Protein Milkshake,Phab
8908012975748,Popat jhal mixture 1kg,Unknown Brand
8906131681236,Blueberry Millet Pancake Mix,Mille
8901207013973,Dabur Ratnaprash,Dabur
0007010975021,Popat ganga jamuna,
8909081011214,Mom's Magic Ghee Roasted Cashew Cookies,"Mom's Magic,Sunfeast"
8901394200583,RAGHUVANSHI MUMBAI MAGIC BANANA CHIPS,
8703510010522,shell Pasta,Savorit
89080603,,
8906036303004,Rajgira Peanut Chikki,Unknown Brand
8901393025705,Sour Tubes,Chupa Chupa
8901719129605,Chill Chatpata,Full Toss Baked
8904083323174,Skyr Blueberry,Milky Mist
8002000247142,Sanjivani 250gm,
8901063166899,Brita.toastea wheat rusk PO 2s,
8901207018268,Meswak,Dabur
8901063166882,Brita. Wheat rusk 3x305g,
8901047816116,Methi Aloo,
8901063032156,,Britannia
0012661214078,Good life mixed dry fruits,Good Life
3583784899369,,
8904192222788,Chocolate,"Thoughtful,Hazel Twirl"
4906459635090,Greek Yogurt blueberry,Epigamia
8904089915144,Toned Milk,Heritage
8906118416844,PLUM,
8901063165885,Brita.milkibikis smiley kreemz 12x44g,
8904406047268,,
8906108190167,Chunky Continental Chicken Spread,Licious
8901047816192,Bombay potatoes,
8906001380566,Galleta Trio 4 Chocolate,
8906069407151,Wok Tok Korean Noodles,Wok Tok
