barcode,product_name,brands,ingredients_text,sold_in_india_status,ingredient_confidence,status,data_source,source_license,collection_method
8908016501530,Peri Peri Crumbles,Hello Tempayy,"Non GMO soybeans, water, red chilli paste, vinegar, sunflower oil, chilli powder, sugar, iodized salt, lime juice, spices and condiments, hydrolysed vegetable protein, rice flour, rhizopus (culture), iron, vitamin B12",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901522005158,Ginger Ale (Zero Sugar),Jameson,"carbonated water, acidity regulators [ins 330, ins 331(iii)], flavours, nature flavouring substances), artificial sweeteners (ins 955, ins 950), preservative (ins 218) and colour (ins 150d).",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8901018000889,Milk Rich,Nilgiri's,"milk fat, milk solids milk fat 4.5% milk snf 8.5%",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8906009073958,Unibic Coconut Cookies,Unibic,"Refined wheat flour, sugar, coconut, edible vegetable oil (palm), invert syrup, raising agents, salt, emulsifiers, artificial coconut flavour",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906112995390,High Protein Pav Bun,Protein Chef,"High protein flour (whole wheat flour, defatted peanut flour, isolated wheat protein, soy protein isolate), sugar, edible common salt, yeast, edible vegetable oil (sunflower), emulsifier from soy (E322), acidity regulator (E260), calcium propionate, vitamin C",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
8906008815153,Arhar Dal (Toor Dal),Fortune,Arhar dal (toor dal),CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8906033261215,Ripple Tea,Ripple,green tea (99.7%) & jasmine flavour (natural flavour) contains added flavour (natural flavour),CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8906046144406,Yellow Mustard Ground Organic Spices,,yellow mustard seed ground,CONFIRMED_INDIA_890,HIGH,KEEP,Barcode Registry (No Ingredient Text),Pending Attribution,Barcode Scan
8906080604676,Paper boat Indigo exclusive mango basil,Paper boat,"water, mango pulp (51%) apple juice concentrate (7%). flavours (natural and nature-identical flavouring substances), lemon juice concentrate, dried basil leaves.",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8906064701018,Banana chips,Kozhi,"raw banana (90%), refined palmolein, salt, turmeric, colour (102)",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8902901231373,Good Life hing,Good Life,"wheat flour (atta) (58%), gum arabic (31%), asafoetida (hing) 11%",CONFIRMED_INDIA_890,HIGH,KEEP,User Scan / Brand Publication,User-submitted,Barcode Scan
8906080603518,Paper Boat Zero Sparkling Coffee,Paper Boat,"Carbonated water, sweeteners (968, 955), flavours (nature-identical and natural flavouring substances), acidity regulators (330, 331(iii)), coffee bean extract (0.1%), caffeine (25mg/100ml), preservative (211)",CONFIRMED_INDIA_890,HIGH,KEEP,OpenFoodFacts (ODbL),ODbL,API/CSV Import
