barcode,product_name,brands,ingredients_text
6887610,P'tit Québec cheddar très doux,Kraft Heinz Canada,"lait, substances laitieres modifiees culture bacterienne, sel, chlorure de calcium enzyme microbienne."
642742654886404672725,"California Pizza Kitchen, Sprite, 12 Oz",California Pizza Kitchen,undefined
1308303,"Mayocue Saucy Sauce, Mayocue",Heinz,"soybean oil, tomato puree (tomato paste, water), high fructose corn syrup, vinegar, egg yolks, contains less than 2% of salt, molasses, sugar, fruit juice (color), modified food starch, spices, potassium sorbate and sodium benzoate as preservatives, natural smoke flavor, xanthan gum, onion powder, garlic powder, phospholipase, calcium disodium edta (to protect freshness)."
1317000,Heinz Zesty Cocktail Sauce,Heinz,"tomato concentrate (tomato paste, water), distilled white vinegar, high fructose corn syrup, horseradish, salt, corn syrup, worcestershire sauce (distilled white vinegar, water, molasses, soy sauce [water, salt, hydrolyzed soy protein, corn syrup, caramel coloring], high fructose corn syrup, salt, natural flavoring, caramel coloring, anchovies, polysorbate 80, soy flour, garlic extract), mustard bran, soybean oil, dehydrated onions, spices, onion powder, natural flavorings, garlic powder."
8892788109447798778924,"California Pizza Kitchen, Tamari Reserva Malbec, 9 Oz",California Pizza Kitchen,undefined
878204788792760276,"California Pizza Kitchen, Thai Crunch Salad, Full",California Pizza Kitchen,undefined
4900207,Peace Tea,Coca-Cola,"tea (water, tea powder), apple juice from concentrate, cane sugar, lemon juice from concentrate, citric acid, natural flavors, sodium citrate, sucralose"
53689484795976358393,"California Pizza Kitchen, Ultimate Bloody Mary",California Pizza Kitchen,undefined
1249002025001779624,,,
1439938,Chavroux,"Chavroux, Fromarsac, Savencia","_ziegenmilch_, salz, kásereikulturen, lab."
698685438569610889,"California Pizza Kitchen, Petite Wedge Salad",California Pizza Kitchen,undefined
1280504,Diet Pepsi,Pepsi,"carbonated water, caramel color, aspartame phosphoric acid, potassium benzoate (preserves freshness), caffeine, citric acid, natural flavor acesulfame potassium. phenylketonurics: contains phenylalanine bottled under the authority of pepsico, inc., 00277-101-00-16 purchase, ny 10577. luories caffeine content: 35mg/12 fl oz. www.pepslcom"
1389706,Tomato Ketchup No Salt Added,Heinz,"tomato concentrate (red ripe tomatoes), distilled vinegar. high fructose corn syrup, corn syrup, alsosalt salt substitute (potassium chloride, l-lysine monohydrochloride), natural flavoring, spice, onion powder."
3598467460098603010815,"California Pizza Kitchen, J Lohr Seven Oaks Cabernet Sauvignon, 6 Oz",California Pizza Kitchen,undefined
3115541774437863913613,"California Pizza Kitchen, Kendall Jackson Vintners Reserve Chardonnay, 6 Oz",California Pizza Kitchen,undefined
8833964436178710,"California Pizza Kitchen, Roasted Veggie Salad, Full",California Pizza Kitchen,undefined
1887737882849850036237,"California Pizza Kitchen, Sam Adams Seasonal, Winter Lager",California Pizza Kitchen,undefined
7693564886442747071,"California Pizza Kitchen, Shrimp Scampi Zucchini",California Pizza Kitchen,undefined
9798643389851289490075,"California Pizza Kitchen, Socialite Cosmo",California Pizza Kitchen,undefined
4936509,Vanilla Flavored Cola,Coca-Cola,"carbonated water, high fructose corn syrup, caramel color, phosphoric acid, natural flavors, caffeine."
19085884018783170,"California Pizza Kitchen, Strawberry Lime Margarita",California Pizza Kitchen,undefined
703567182644789542868989,"California Pizza Kitchen, Tamari Reserva Malbec, 6 Oz",California Pizza Kitchen,undefined
89377280830472831849465353,"California Pizza Kitchen, Tamari Reserva Malbec, Bottle",California Pizza Kitchen,undefined
100026,Chourasiya Salted Pista,Chourasiya,salted pista
1828272088411316598655982,"California Pizza Kitchen, Le Grand Courtage, Bottle",California Pizza Kitchen,undefined
736152442757498962,"California Pizza Kitchen, Mark West Pinot Noir, 9 Oz",California Pizza Kitchen,undefined
58007744078757319,"California Pizza Kitchen, Santa Julia Organica Cabernet Sauvignon, Bottle",California Pizza Kitchen,undefined
67807300244851548,"California Pizza Kitchen, Wild Caught Sesame Seared Ahi",California Pizza Kitchen,undefined
944245808214939893777299,"California Pizza Kitchen, Sonoma Cutrer, Russian River Ranches Chardonnay, 6 Oz",California Pizza Kitchen,undefined
4057044922331533,"California Pizza Kitchen, Stella Artois",California Pizza Kitchen,undefined
1362505,Dill Relish,Heinz,"pickles (cucumbers, salt, calcium chloride), water, distilled white vinegar, cabbage (cabbage, salt), salt, locust bean and guar gums, xanthan gum, alum, potassium sorbate as a preservative, dehydrated red bell peppers, natural flavorings, fd&c yellow no. 5, garlic extract."
91626469158196485814,"California Pizza Kitchen, The Works Pizza",California Pizza Kitchen,undefined
1212419,Doritos Original salted,Doritos,"corn, canola oil, salt, sunflower oil, antioxidants (tocopherols, ascorbic acid, rosemary extract, citric acid)."
121830493984413394011,"California Pizza Kitchen, Chicken Tequila Fettuccine",California Pizza Kitchen,undefined
6407014,All-Bran Buds,Kellogg's,"wheat bran , sugar, envelope of seeds of psyllium, salt, baking soda, colour, bht, vitamins, minerals : iron, thiamine hydrochloride, d-pantothenate of calcium, hydrochloride oe pyridoxine, folic acid, contains ingredients from wheat,"
83496904730609450368,"California Pizza Kitchen, White Truffle Oil, For Original Hand Tossed Pizzas",California Pizza Kitchen,undefined
3811009,Kellogg's Corn Flakes the Original & Best Cereal,Kellogg's,"corn, sugar, malt flavor, contajns 2% or less of addedio packaging for freshness. minerals: iron, vitamin c (sodium ascorbate, ascorbic vitamin b6 (pyridoxine hydrochloride), vitamin b2 bi (thiamin hydrochloride), vitamin a palmitate, d, vitamin bi 2. used in this product contains traces of <span class=""allergen"">soybeans</span>."
4022309,M &M'S Peanut Butter Share Size,"Mars, Mars Chocolat","milk chocolate (sugar, cocoa butter, chocolate, skim milk, milkfat, lactose, peanuts, soy lecithin, salt, artificial flavors), peanut butter (partially defatted peanuts), sugar, hydrogenated palm kernel oil, partially defatted peanut flour, cornstarch, dextrose, less than 1% - corn syrup, natural flavors, salt, dextrin, coloring (includes blue 1 lake, red 40, yellow 6, yellow 5, blue 1, red 40 lake, yellow 6 lake, yellow 5 lake, blue 2, blue 2 lake), propyl gallate to maintain freshness, gum acacia,"
3897742,Sweet Relish,Heinz,"cucumbers, high fructose corn syrup, cabbage, distilled white vinegar, salt, guar gum, aluminum sulfate, xanthan gum, potassium sorbate, sodium benzoate, dried red bell peppers, natural and artificial flavors, polysorbate 80, fd&c yellow no. 5, fd&c blue no. 1."
6780708,Zero Sugar Cola,Coca-Cola,"carbonated water, caramel colour, phosphoric acid, aspartame (phenylalanine), potassium benzoate, natural flavour, potassium citrate, acesulfame-potassium, caffeine."
1718577,Tomato Ketchup,Heinz,"tomato concentrate, distilled vinegar, cane sugar, salt, onion powder, spice, natural flavoring"
6326605,Frosted Flakes,Kellogg's,"milled corn, sugar, contains 2% or less: malt flavor, salt, bht for freshness. 
vitamins and minerals: iron, vitamin c (ascorbic acid and sodium ascorbate), niacinamide, vitamin b6 (pyridoxine hydrochloride, vitamin b2 (riboflavin), vitamin b1 (thiamin hydrochloride), vitamin a palmitate, folic acid, vitamin d, vitamin b12."
4418634,Coca-Cola Zero Sucres République,Coca-Cola,"eau gazéifiée, e150d, acide phosphorique, citrate de sodium, aspartame, acésulfame-k, arômes naturels dont caféine."
9423686824658213325941,"California Pizza Kitchen, Citrus Crush",California Pizza Kitchen,undefined
