barcode,product_name,brands,categories,fssai_category_code,banned_item,banned_item_type,banned_in_jurisdictions,violation_reason,needs_verification,verification_reason,data_source,last_cleaned,is_verified,platform,is_gs1_890,audit_tier,indian_market_status
8901777960042,Vadilal bomber,Vadilal,,CAT_01,Ponceau 4R (E124),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8901808000068,WeiKFiELD,Weikfield,"Dairies, Condiments, Sauces, Dessert sauces, Custards and pastry creams, Desse, en:dessert-mixes",CAT_01,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8908014480080,Bovonto,Kali Mark,"Beverages and beverages preparations,Beverages,Carbonated drinks,Sodas",CAT_14,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8908014480080,Bovonto,Kali Mark,"Beverages and beverages preparations,Beverages,Carbonated drinks,Sodas",CAT_14,Ponceau 4R (E124),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8901826903105,Pio' -  Badam,Verka,"Beverages and beverages preparations,Beverages,Dairies,Dairy drinks,Milks,Flavoured milks",CAT_14,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8901063146938,Winkin' Cow Bourbon Shake,Britannia,milkshake,CAT_01,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8901552032711,Soul Amritsari Kulcha,Soul,Frozen foods,Unknown,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8909081013737,Strawberry Smoothie,Sunfeast,"Beverages and beverages preparations,Beverages",CAT_14,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8901030970238,Choco Brownie Fudge,Kwality Walls,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams",CAT_03,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8904422710894,Refined Sunflower Oil,Sunrich,"Plant-based foods and beverages,Plant-based foods,Fats,Vegetable fats,Vegetable oils,Sunflower seeds and their products,Sunflower oils",CAT_14,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8901491002561,Dynamita,Doritos,,CAT_15,Ponceau 4R (E124),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8906069612371,Jolliz Namkeen Cream Onion Chips,Anand,Namkeen,CAT_15,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8906154670156,Tomato Pickle,Kh Pickle,,Unknown,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8902082805004,Grape Squash,Grandma's,squash,CAT_14,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8902082805004,Grape Squash,Grandma's,squash,CAT_14,Ponceau 4R (E124),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8901662037828,CHICKEN BIRYANI MIX,Suhana,,Unknown,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8906006721555,Mixed Fruit Jam,Lion,,Unknown,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8906021921497,Mixed Fruit Jam,Apis,en:fruit-jam,CAT_04,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8908019726442,Choco Pockets,Nova Nova,snacks,CAT_15,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8904146307851,Muesli,Spar,,Unknown,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8904146307851,Muesli,Spar,,Unknown,Ponceau 4R (E124),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8908022793011,Rose Syrup,Janatha,Rose syrup,CAT_14,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8906026504985,Cream Roll,Nafees,,Unknown,Ponceau 4R (E124),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8906008819502,Refined Soyabean Oil,Fortune,,CAT_02,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8906023797014,Sunflower Oil,Gold Drop,Sunflower Oil,CAT_02,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8901689010125,Mala's straberry jam,Mala's,Jam,CAT_04,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8901512562807,Butter flavour popcorn,ACT 2,Popcorn,CAT_15,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8901044570554,Orange Squash,Mapro,beverage preparations,CAT_14,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8906020960053,Refined Oil,Vimal,,Unknown,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8901207096402,Indian Kachchi Ghani Mustard Oil,Dabur,Mustard Oil,CAT_02,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8906080603433,Sparkling Cranberry Lime Carbonated Water,Paper Boat,"Beverages and beverages preparations,Beverages,Beverages with cranberry",CAT_14,Carmoisine / Azorubine (E122),Additive (INS/E-Code),"['JP', 'US']","Banned in JP, US according to additive rulebook. Functional Class: Additive.",False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8901512540201,ACT TT GOlDEN SIZZLE,ACT II,Popcorn,CAT_15,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8901248270212,Emami Healthy & Tasty Refined Sunflower Oil,Emami,"Plant-based foods and beverages,Plant-based foods,Fats,Vegetable fats,Vegetable oils,Sunflower seeds and their products,Sunflower oils",CAT_14,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
8904422712119,Groundnut Oil,Patanjali,Oils,CAT_02,TBHQ (E319),Additive (INS/E-Code),['JP'],Banned in JP according to additive rulebook. Functional Class: Antioxidant.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,PRIMARY_QUALIFYING,VERIFIED: GS1 India 890 Barcode
