barcode,additive_code
28400437233,E110
28400437233,E129
28400437233,E262
28400437233,E262II
28400437233,E330
28400437233,E621
28400437233,E627
28400437233,E631
28400343688,E102
28400343688,E110
28400343688,E129
28400343688,E133
28400343688,E270
28400343688,E330
28400343688,E621
28400343688,E627
28400343688,E631
28400343671,E102
28400343671,E110
28400343671,E129
28400343671,E270
28400343671,E330
28400343671,E621
28400343671,E627
28400343671,E631
28400334419,E110
28400334419,E129
28400334419,E132
28400334419,E133
28400334419,E262
28400334419,E262II
28400334419,E330
28400334419,E621
28400334419,E627
28400334419,E631
28400300513,E102
28400300513,E129
28400300513,E133
28400300513,E262
28400300513,E262I
28400300513,E296
28400300513,E330
28400300513,E621
28400300513,E627
28400300513,E631
43000200070,E129
43000200070,E133
43000200070,E297
43000200070,E339II
43000200070,E355
43000200070,E428
44000015923,E322
44000015923,E322I
44000015923,E341
44000015923,E500
44000015923,E500II
3348630008117,E950
3348630008117,E951
5170013978018,E322
5170013978018,E322I
5170013978018,E407
5170013978018,E410
5170013978018,E412
5170013978018,E471
5170013978018,E477
5601151976869,E150D
5601151976869,E338
5601151976869,E950
5601151976869,E955
7622210467706,E322
7622210467706,E322I
7622210496041,E322
7622210496041,E322I
7622210612748,E322
7622210612748,E322I
7622210663504,E524
80050254,E300
80050254,E330
9300675001410,E150D
9300675001410,E338
7501008014332,E307
5050083344787,E14XX
5050083344787,E296
5050083344787,E306
5050083344787,E322
5050083344787,E322I
5050083344787,E412
5050083344787,E471
5050083344787,E472E
5050083344787,E475
5050083344787,E500
87170788,E150D
87170788,E202
87170788,E330
87170788,E338
87170788,E951
5053827202572,E422
5053827202572,E440
38000198977,E110
38000198977,E129
38000198977,E133
28400045155,E102
28400045155,E110
28400045155,E129
28400045155,E132
28400045155,E262
28400045155,E262II
28400045155,E270
28400045155,E330
28400045155,E621
28400045155,E627
28400045155,E631
5412949096825,E322
5412949096825,E330
5412949096825,E471
40000258506,E102
40000258506,E110
40000258506,E129
40000258506,E133
40000258506,E330
40000258506,E414
1317000,E150C
1317000,E433
44000032142,E322
44000032142,E322I
44000032142,E341
44000032142,E500
44000032142,E500II
8410408014189,E330
8410408014189,E331
8410408014189,E331I
8410408014189,E340
8410408014189,E414
8410408014189,E445
59027904,E322
8410199021052,E150
8410199021052,E160B
8410199021052,E160C
8410199021052,E270
8410199021052,E330
8410199021052,E621
8901719656811,E150
8901719656811,E322
8901719656811,E322I
8901719656811,E471
8901719656811,E500
8901719656811,E500II
8901719656811,E503
8901719656811,E503II
8715700119939,E330
4803925260124,E202
4803925260124,E330
4803925260124,E414
4803925260124,E415
4803925260124,E950
4803925260124,E955
5060639128549,E150D
5060639128549,E202
5060639128549,E211
5060639128549,E270
5060639128549,E330
5060639128549,E331
5060639128549,E338
5060639128549,E340
5060639128549,E950
5060639128549,E955
4902102137089,E150A
3487400006356,E330
5000112658682,E150D
5000112658682,E338
7622201766269,E150C
7622201766269,E322
7622201766269,E471
7622201766269,E500
5000112512793,E202
5000112512793,E338
5000112512793,E951
8901058904093,E322
8901058904093,E322I
8901058904093,E500
8901058904093,E516
5000112658620,E150D
5000112658620,E338
59492702,E150D
59492702,E290
59492702,E338
59492702,E950
59492702,E951
9342866001229,E110
9342866001229,E129
9342866001229,E133
9342866001229,E202
9342866001229,E211
9342866001229,E950
9342866001229,E955
9342866001229,E968
8908001588560,E202
8908001588560,E412
59496397,E338
8906002004461,E1442
8906002004461,E202
8906002004461,E211
8906002004461,E260
8906002004461,E319
8906002004461,E330
8906002004461,E415
4901777402010,E150A
4901777402010,E950
4901777402010,E951
4901777402010,E955
41192103360,E306
41192103360,E422
8906010500511,E160C
8906010500511,E330
8906010500511,E551
8906010500511,E627
8906010500511,E631
3948719127465,E150
3948719127465,E322
3948719127465,E322I
3948719127465,E472E
3948719127465,E500
3948719127465,E503
72364253,E150C
72364253,E338
8906183980271,E955
5059321007507,E304
5059321007507,E304I
5059321007507,E307
5059321007507,E322
5059321007507,E420
5059321007507,E422
8905507003146,E211
8905507003146,E260
8904238400187,E110
8904238400187,E122
8906130900031,E202
8906130900031,E281
8906130900031,E341
8906130900031,E407
8906130900031,E410
8906130900031,E415
8906130900031,E422
8906130900031,E440
8906130900031,E500
8906130900031,E503
9300675096553,E150D
9300675096553,E331
9300675096553,E338
9300675096553,E950
9300675096553,E951
9313820000664,E150D
9313820000664,E211
9313820000664,E330
9313820000664,E338
9313820000664,E950
9313820000664,E951
8901058897906,E950
723246290553,E296
723246290553,E500
723246290553,E500II
723246290553,E521
5000157140876,E385
5000159344371,E322
5000159344371,E322I
5000159344371,E407
5000159344371,E410
5000159344371,E412
5000159344371,E471
5000159344371,E477
5000159365369,E322
5000159365369,E322I
5000159384230,E322
5000159384230,E322I
5000159404259,E322
5000159404259,E322I
5000159414951,E322
5000159414951,E322I
5000159414951,E341
5000159414951,E440
5000159414951,E500
5000159414951,E501
5000159429153,E322
5000159429153,E322I
5000159429245,E322
5000159429245,E322I
5000159434539,E322
5000159434539,E322I
5000159434539,E422
5000159434539,E471
5000159442060,E322
5000159442060,E322I
5000159446488,E100
5000159446488,E120
5000159446488,E133
5000159446488,E1400
5000159446488,E160A
5000159446488,E160E
5000159446488,E171
5000159446488,E322
5000159446488,E322I
5000159446488,E414
5000159446488,E903
5000159460811,E322
5000159460811,E322I
5000159473385,E150A
5000159473385,E322
5000159473385,E322I
5000159473385,E407
5000159473385,E410
5000159473385,E412
5000159473385,E471
5000159475358,E322
5000159475358,E322I
5000159475358,E341
5000159475358,E422
5000159475358,E471
5000159475358,E500
5000159475358,E501
5000159476263,E100
5000159476263,E120
5000159476263,E133
5000159476263,E1400
5000159476263,E160A
5000159476263,E171
5000159476263,E322
5000159476263,E322I
5000159476263,E414
5000159476263,E903
5000159476621,E322
5000159476621,E322I
5000159476621,E500
5000159483247,E322
5000159483247,E322I
5000159483247,E500
5000159484800,E150A
5000159484800,E322
5000159484800,E322I
5000159484800,E407
5000159484800,E410
5000159484800,E412
5000159484800,E471
5000159484800,E492
5000159484800,E503
5000159493215,E322
5000159493215,E322I
28400308182,E110
28400308182,E129
28400308182,E330
28400308182,E621
28400420716,E102
28400420716,E129
28400420716,E133
28400420716,E262
28400420716,E262I
28400420716,E296
28400420716,E330
28400420716,E621
28400420716,E627
28400420716,E631
28400674744,E160C
28400674744,E330
28400674744,E960
70221011116,E322
70221011116,E322I
3760126830147,E330
3760126830147,E338
3760126830147,E950
3760126830147,E951
4011100001305,E100
4011100001305,E120
4011100001305,E133
4011100001305,E1400
4011100001305,E160A
4011100001305,E160E
4011100001305,E170
4011100001305,E414
4011100001305,E903
54490246,E150D
54490246,E290
54490246,E338
54491472,E150D
54491472,E290
54491472,E338
54492752,E160A
54492752,E160AI
54492752,E300
54492752,E330
54492752,E414
54492752,E445
54492752,E950
54492752,E955
7614500034132,E322
7614500034132,E322I
8410066112876,E150
8410066112876,E161B
8410066112876,E202
8410066112876,E385
8410066112876,E401
8410066112876,E415
8410199015921,E150
8410199015921,E160B
8410199015921,E270
8410199015921,E330
8410199015921,E621
8000500272480,E322
8000500272480,E500
8000500272480,E500II
8906043901620,E322
8906043901620,E330
8906043901620,E412
8906043901620,E435
8906043901620,E466
8906043901620,E477
8906043901620,E541
8906043901620,E541I
8715700110080,E14XX
8715700110080,E330
8715700110080,E412
8715700110080,E415
3017620425301,E322
3017620425301,E322I
3948207025716,E211
5449000221780,E150D
5449000221780,E290
5449000221780,E331
5449000221780,E338
5449000221780,E950
5449000221780,E951
5000112541007,E150D
5000112541007,E290
5000112541007,E338
7802820851021,E14XX
7802820851021,E202
7802820851021,E330
7802820851021,E331
7802820851021,E340
7802820851021,E385
4007993021643,E322
4007993021643,E410
4007993021643,E412
4007993021643,E471
4007993021643,E476
38000126710,E322
38000126710,E322I
38000126710,E422
38000126710,E428
38000126710,E472E
43000057971,E270
43000083147,E341
43000083147,E466
90435898,E950
8901779028924,E322
8901779028924,E504
9002490246594,E101
9002490246594,E101I
9002490246594,E163
9002490246594,E330
9002490246594,E331
4060800009715,E150D
4009900513487,E320
4009900513487,E330
4009900513487,E422
4009900513487,E950
4009900513487,E951
66721026613,E322
66721026613,E322I
66721026613,E500
66721026613,E500II
66721026613,E503
66721026613,E503II
28400516471,E102
28400516471,E110
28400516471,E129
28400516471,E133
28400516471,E270
28400516471,E330
28400516471,E621
28400516471,E627
28400516471,E631
8904288611373,E211
8904288611373,E260
8904288611373,E330
9300650450516,E304
9300650450516,E307B
9300650450516,E319
9300650450516,E322
9300650450516,E322I
9300650450516,E500
9300650450516,E503
9002490241247,E101
9002490241247,E101I
9002490241247,E150
9002490241247,E290
9002490241247,E330
9002490241247,E500
6009510806151,E160C
6009510806151,E330
38000234118,E102
