barcode,product_name,brands,categories,fssai_category_code,banned_item,banned_item_type,banned_in_jurisdictions,violation_reason
5000159446488,M&M's Peanut,"M&M's, Mars, Mars Chocolat","Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Confiseries chocolatées, Bonbons de chocolat, Fruits à coques enrobés de chocolat, Cacahuètes au chocolat",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
5000159476263,M &M'S 300 G ?,"M&M's, Mars","Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Confiseries chocolatées, Bonbons de chocolat, en:Chocolate covered nuts and fruits, Fruits à coques enrobés de chocolat, Cacahuètes au chocolat",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
9300650450516,Oreos Chocolate,Oreo,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Chocolate biscuits, en:chocolate-sandwich-cookies",CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
7802000020148,Doritos tamaño M Sabor Queso,Doritos,"Snacks, Botanas, Botanas saladas, Tortilla chips",CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
7501011167735,Nacho,"Doritos, Sabritas",,Unknown,Partially Hydrogenated Oil (PHO),Ingredient (Null INS),"US, CA",Banned in US (FDA 2018 GRAS revocation) and Canada due to industrial trans fats.
0028000081409,Milk chocolate,Nestlé,Snacks,CAT_15,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
0040000488064,M & M Chocolate (180 G),Mars,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Candies",CAT_15,Titanium Dioxide (E171),Additive (INS/E-Code),EU,Banned in EU according to additive rulebook. Functional Class: Colorant.
8901777960042,Vadilal bomber,Vadilal,,Unknown,Ponceau 4R (E124),Additive (INS/E-Code),US,Banned in US according to additive rulebook. Functional Class: Additive.
8901808000068,WeiKFiELD,Weikfield,"Dairies, Condiments, Sauces, Dessert sauces, Custards and pastry creams, Desse, en:dessert-mixes",CAT_01,Carmoisine (E122),Additive (INS/E-Code),"JP, US","Banned in JP, US according to additive rulebook. Functional Class: Additive."
9300650454040,Double Stuff Cadbury Crème Egg,Oreo,Biscuits,CAT_07,TBHQ (Tertiary Butylhydroquinone) (E319),Additive (INS/E-Code),JP,Banned in JP according to additive rulebook. Functional Class: Antioxidant.
