barcode,product_name,brands,categories,ingredients_text
0000000000000,nan,,,
00000604,banana sily yellow,Weinbrand,"Boissons et préparations de boissons, Boissons",
00000605,banana mari,Brandy,"Boissons et préparations de boissons, Boissons",
00000663,nan,,,
00000703,Baileys Salted Caramel,Likör,"Beverages and beverages preparations, Beverages",
00000723,KAJU KATLI,KAKADA,Confectioneries,
00000740,Hershey s milk nuggets,Hershey's,,
00000901,Gewürztraminer Brand,Weinbrand,"Beverages and beverages preparations, Beverages",
0000101403173,nan,,,
0000101403189,nan,,,
0000101403199,Cabbage,More,Cabbages,
0000101403203,nan,Unknown Brand,,
0000101481699,Chilli Green,Unknown Brand,"vegetables,chilli",
0000101481701,Cauliflower,Unknown Brand,"vegetables,Fresh cauliflowers",
0000101646249,nan,,,
0000101646321,nan,,,
0000101713364,Fresh Mango Raw,Unknown Brand,Mangoes,
0000104918560,nan,,,
0000110000439,Aa Royal Masoor Dal-500g,,,
0000110000447,Aa Royal Suger-1Kg,,,
0000110007067,nan,,raw peanut,
0000110007233,good Datly,,,
00001119,nan,,,
0000113979068,nan,,,
0000120000555,AA Unbarnded Urad Dal Gota,,,
0000120000845,Aa Royal Suger Powder-250g,,,
00001221,Name,,,
00001232,Formula 2,Herbalife,"Dietary supplements, en:vitamins",
00001248,Chocolate + Vanila Powder,Blackbelt Protein,"Dietary supplements, Bodybuilding supplements, Protein powders",
0000125465235,nan,,,
00001279,Mogli chai schoko,,,
00001295,Feed Grade Soybeans,"H‑E‑B, Rural Route 1",,
00001296,Afresh Energy Drink Mix,Herbalife,"Beverages and beverages preparations, Beverage preparations, en:dehydrated-beverages",
0000130000220,Aa Royal Sabudana Small-500gm,,,
0000130010365,Aa Unbranded Masoor Dal-1Kg,,,
0000130623409,nan,,,
0000140000211,Aa Royal Soya Chunk-250g,,,
0000140000371,Aa Umbranded Rajma Chitra -1Kg,,,
0000140000585,Aa Unbranded Urad Black Split-1Kg,,,
0000140000607,Aa Royal Suger Powder- 500g,,,
0000140000628,Aa Royal Soya Chunks -500g,,,
0000140000846,Aa Royal Bajra Flour-1Kg,,,
0000140001756,Aa Unbranded Rajma Chitra 500g,,,
0000140006745,Aa Royal Makal Ata-1Kg,,,
0000148019240,Fc salted peanuts,,,
0000148019243,Bikaneri bhujia 150g(28),,,
0000151009660,Primium basmati 1kg,,,
0000151009684,Masoor dal black whole 1kg (4),,,
0000151009685,Massor dal black whole 500g(14),,,
0000151009688,Masoor Malka big,,,
0000151009690,Matar green 500g (12),,,
0000151009697,Moong whole 500g,,,
0000151009701,Rajma chitra 1kg (10),,,
0000151009707,First crop Urad chilka 500g,,,
0000151009709,Urad dhuli 500g (2),,,
0000151009710,nan,,,
0000151009712,Lobia white 500g(4),,,
0000151009750,Long grain 1kg,,,
0000151010430,FC Dry fruits Pista R&S,,,
0000151010431,First crop pista 200g,,,
0000151010432,First crop Fig Regular(200h),,,
0000151011448,Mix dal 1kg (5),,,
0000151011621,Penut 200g,,,
0000151011626,First crop popcorn 500g,,,
0000151011880,IT Himg powder,,,
0000151012280,Imli tree hing 25g,,,
0000151012297,IT ginger paste,,,
0000151012425,Hara chana 500g (14),,,
0000151012881,Imli tree dhania 250g(26),,,
0000151012914,Soya granules 200g,,,
0000151013261,Chana bomay,,,
0000158540001,nan,,,
00001804,SPF. PA+++UVA SUNSCREEM,,,
0000203007768,nutritional yeast flakes,urban platter,,
0000203927288,Whey Platinum Isolate Chocolate,Nakpro Nutrition,,
00002316,nan,,Common beans,
00002345,egg,,en:eggs,
00002406,nan,,,
00002694,nan,,Tea cake,
0000270000181,Sighara aata,,,
00003126,meladerm SPF 30,PRO3+FESSIONAL,,
00003530,nan,,,
00003725,nan,,,
0000409728116,green apple,monin,,
00004114,nan,,en:dietary-supplements,
0000422415241,nan,,,
0000437503044,Lay's tomato 🍅,Lay's,,
0000456000011,Multigrain Atta,Goswasthya,,
00004815,nan,,,
0000490416006,Ma Nan almond,,,
0000490416701,Manak walnut kernels,Unknown Brand,,
0000490416746,Ma Nan almond  american,,,
0000490416752,Manak Pista,,,
0000490416753,Ma Nan Dry fruit  mix,,,
0000490416771,Maanak walnuts,,,
0000490520091,White Till sesame seeds,Kanchan,,
0000490607259,Samrudhi raisins yellow,Samrudhi,,
0000490607260,Samrudhi Raisins yellow,Samrudhi,,
0000490626341,nan,,,
0000490837568,nan,,,
0000490837570,Plain nuts,Divine,,
0000490837571,Divine potato chips,,,
0000490837578,Divine sarkara varatty,,,
0000494355486,nan,,Filled white chocolates,
0000500257319,nan,,,
00005115,nan,,,
0000547693024,DNV MUSTARD KASUNDI,,,
0000567111402,nan,,,
0000582369754,Riddhi Siddhi Bakery,Riddhi Siddhi,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Rusks",
0000590000245,BUTTON MUSHROOM,NutraGro,Mushrooms,
0000590001282,French Beans,Unknown Brand,fresh vegetables,
0000590001285,Banana Robusta Box,Unknown Brand,Banana,
0000590001887,Muskmelon small,Unknown Brand,Fruits,
0000590003837,nan,Unknown Brand,,
0000590004475,Coriander,Unknown Brand,Fresh coriander leaves,
0000590004478,Mint,Unknown Brand,Mint,
0000590009369,Kimia dates,Unknown Brand,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Dried products,Dried plant-based foods,Dried fruits,Dates",
0000590011315,Carrot,Unknown Brand,Vegetables,
0000590011721,Beetroot,Unknown Brand,Beetroot,
0000590014232,Cucumber French,Unknown Brand,Vegetables,
0000613138914,nan,,,
00006274,nan,,,
0000638634346,nan,,,
0000638716059,nan,,,
0000650040239,Olive Focaccia Bread,L'Exclusif,,
0000656885484,nan,,,
00007108,nan,,,
0000801964100,bakery,pooj,,
00008169,nan,,medicine,
00008453,Sabja Seeds,Bawaa,Hoary Basil Seed,
00008520,human,,,
0000890607566,Lokenath Bhujiyawala,,,
0000891224696,Rajma chitra 500g,,,
0000927001791,Veg hakka noodles ( 6),,,
0000927002217,Rajma chitra 1kg(10),,,
0000927023540,Moong chilka 1kg (8),,,
