barcode,product_name,brands,categories,fssai_category_code,banned_item,banned_item_type,banned_in_jurisdictions,violation_reason,needs_verification,verification_reason,data_source,last_cleaned,is_verified,platform,is_gs1_890,audit_tier,indian_market_status
8901826903105,Pio' -  Badam,Verka,"Beverages and beverages preparations,Beverages,Dairies,Dairy drinks,Milks,Flavoured milks",CAT_14,Erythrosine (E127),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,SECONDARY_ERYTHROSINE,VERIFIED: GS1 India 890 Barcode
8906159751102,Nabati Pink Lava Cream Wafer Biscuits,Nabati,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Wafers, en:stuffed-wafers",CAT_15,Erythrosine (E127),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,SECONDARY_ERYTHROSINE,VERIFIED: GS1 India 890 Barcode
8901393025002,mentos,Unbranded,,Unknown,Erythrosine (E127),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,True,SECONDARY_ERYTHROSINE,VERIFIED: GS1 India 890 Barcode
8904146307851,Muesli,Spar,,Unknown,Erythrosine (E127),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,True,SECONDARY_ERYTHROSINE,VERIFIED: GS1 India 890 Barcode
8906124670872,Geks Era Black Currant Pulp & Juice,Geks Era,Juice,CAT_14,Erythrosine (E127),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,SECONDARY_ERYTHROSINE,VERIFIED: GS1 India 890 Barcode
8901972062947,Creme 4 Fun,Dukes,"463.2, en:biscuits",CAT_07,Erythrosine (E127),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,SECONDARY_ERYTHROSINE,VERIFIED: GS1 India 890 Barcode
8901648000860,Chocolate Flavoured Milk,Mother Dairy,"Beverages and beverages preparations,Beverages,Dairies,Milks (liquid and powder),Dairy drinks,Milks,Flavoured milks",CAT_14,Erythrosine (E127),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,SECONDARY_ERYTHROSINE,VERIFIED: GS1 India 890 Barcode
8901063146952,Winkin Cow Strawberry,Winkin Cow,,Unknown,Erythrosine (E127),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,True, | Unknown FSSAI category,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,False,foodfactsindia.online,True,SECONDARY_ERYTHROSINE,VERIFIED: GS1 India 890 Barcode
8901262173438,Frozen Yoghurt - Strawberry flavour,Amul,,CAT_01,Erythrosine (E127),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,SECONDARY_ERYTHROSINE,VERIFIED: GS1 India 890 Barcode
8908006135516,Moraz Strawberry Crush,Moraz,beverages,CAT_14,Erythrosine (E127),Additive (INS/E-Code),['US'],Banned in US according to additive rulebook. Functional Class: Additive.,False,,OpenFoodFacts / GS1 Database,2026-08-07 02:46:51,True,foodfactsindia.online,True,SECONDARY_ERYTHROSINE,VERIFIED: GS1 India 890 Barcode
