additive_code,product_count
E330,1097
E500,746
E322,726
E471,509
E500II,355
E211,345
E322I,331
E415,329
E503,324
E412,309
E551,285
E260,279
E150D,236
E631,231
E627,222
E202,219
E331,216
E300,215
E102,200
E296,200
E407,189
E110,185
E466,179
E440,169
E422,169
E319,160
E476,158
E282,142
E503II,136
E450,133
E472E,133
E223,131
E122,126
E955,116
E341,114
E501,110
E1100,109
E133,107
E635,102
E170,102
E451,100
E414,100
E452,94
E150C,90
E420,88
E160C,87
E960,84
E1101,76
E508,75
E200,75
E442,73
E481,71
E320,68
E410,63
E100,63
E334,62
E160A,59
E450I,59
E965,56
E477,54
E1422,54
E124,53
E950,53
E270,53
E340,51
E392,51
E500I,50
E150A,50
E339,49
E460,46
E170I,44
E1442,43
E224,41
E621,41
E338,40
E129,39
E510,36
E451I,34
E307B,34
E331III,33
E1520,33
E1400,32
E433,32
E418,31
E262,29
E1104,28
E306,27
E14XX,27
E968,26
E127,26
E401,26
E150,25
E516,25
E290,25
E903,25
E475,25
E900,25
E1450,25
E445,24
E951,24
E339II,24
E501I,24
E428,23
E141,23
E900A,22
E162,22
E460I,21
E234,21
E160AI,21
E570,21
E171,21
E321,20
E491,20
E385,20
E452I,20
E160B,19
E1102,19
E470,19
E297,19
E501II,19
E435,17
E101,16
E406,16
E472,15
E281,15
E340II,15
E464,15
E132,15
E420I,14
E492,14
E572,14
E452VI,14
E1200,13
E304,13
E436,13
E101I,13
E461,12
E262I,11
E420II,11
E218,11
E164,11
E327,11
E307,10
E341II,10
E904,10
E923,10
E450III,10
E509,10
E575,10
E140,9
E620,9
E341I,9
E339III,9
E242,9
E525,9
E901,9
E1440,8
E250,8
E407A,8
E473,7
E331I,7
E417,7
AMINO-ACIDS,7
E220,7
E553,7
E141II,7
E160AIII,7
E941,7
E524,6
E960A,6
E210,6
E339I,6
E536,6
E262II,6
E142,6
E503I,6
E552,6
E325,6
E1405,6
E553B,6
E1201,6
E341III,6
E1420,6
E965I,6
E405,5
E161B,5
E163,5
E541,5
E143,5
E521,5
E953,5
E316,5
E280,5
E172,5
E322II,5
E1202,5
E1521,5
E216,5
E967,5
E304I,4
E502,4
E120,4
E905,4
E329,4
E175,4
E1401,4
E160AII,4
E235,4
E331II,4
E1412,4
E307C,3
E332,3
E140I,3
E421,3
E504,3
E954,3
E469,3
E304II,3
E219,3
CA:CARBONAT-ACID-DE-SODI-I-DIFOSFAT-DE-DISODI,3
E1503,3
E125,3
E141I,3
E640,3
E450II,3
XX:E386,3
E462,3
E472B,3
E470A,3
E1404,3
E957,3
E470B,3
E310,3
E1204,3
E160,3
E1505,2
E161H,2
E999,2
E450VII,2
E154,2
E261,2
E905A,2
E905C,2
E905CI,2
E217,2
E386,2
E350,2
E1411,2
E641,2
E172II,2
E444,2
E212,2
E1510,2
E337,2
E472A,2
E965II,2
E222,2
E419,2
E468,2
E400,2
E103,2
E232,1
E332I,1
E153,1
E520,1
E541I,1
E629,1
E630,1
E458,1
E350II,1
E252,1
E150B,1
E155,1
E301,1
E355,1
E544,1
E529,1
E230,1
E452II,1
E500III,1
E640I,1
E160BII,1
E963,1
E457,1
E365,1
E1519,1
E1518,1
E163C,1
E1103,1
E637,1
E172I,1
E1451,1
E527,1
E472C,1
E302,1
E152,1
E559,1
E912,1
E413,1
E416,1
E161G,1
E1001,1
E130,1
E336,1
E336I,1
E493,1
E429,1
E363,1
E201,1
E225,1
E465,1
E160E,1
E1402,1
E314,1
E905B,1
E343,1
E343II,1
E181,1
E342,1
E1000,1
E913,1
E307A,1
E478,1
E530,1
E540,1
E504I,1
E238,1
E140II,1
E381,1
E450VI,1
E518,1
