barcode,product_name,brand,verified_ingredients,flagged_additive_code,flagged_additive_name,functional_class,banned_in_jurisdiction,why_banned_abroad,india_fssai_status,legal_summary,risk_tier
8901522005158,Ginger Ale (Zero Sugar),Jameson,"carbonated water, acidity regulators [ins 330, ins 331(iii)], flavours, nature flavouring substances), artificial sweeteners (ins 955, ins 950), preservative (ins 218) and colour (ins 150d).",INS 150d / E150d,Caramel IV (Sulphite Ammonia Caramel),Chemically Processed Colorant,AUTHORISED with ADI 300 mg/kg bw/day | GRAS; CA Prop 65 Warning Thresholds | PERMITTED under positive list,"Ammonia processing generates trace 4-MEI (4-methylimidazole), a listed carcinogen under CA Prop 65 based on high-dose animal lung/hepatic tumor bioassays.",PERMITTED under FSSAI MPLs,Authorised colorant globally. Listed under California Prop 65 requiring warning labels if 4-MEI threshold is exceeded.,🟡 Moderate Concern
8905950003892,Soya Sticks,Bikaji,"edible vegetable oil (palmolein oil, cottonseed oil), tapioca starch, black gram flour, soya powder (7%), rice flour, black lentil flour, ground spices & condiments (lodised salt, sugar, maltodextrin, fennel, cumin, red chilli, ginger, turmeric (colouring & spices), dry mango powder, corn starch, garlic, mustard seeds, acidity regulator (ins 330, ins 296), anticaking agent (ins 551), asafoetida, flavouring enhancer (ins 627, ins 631, ins 635), hydrolyzed vegetable protein (soya)). hydrogenated vegetable oil (palm, sesame) contains: soy, sesame, mustard contains added flavours (nature identical & natural flavouring substances) contains added permitted natural colour (ins 160c)",PHO / Trans Fats,Hydrogenated / Partially Hydrogenated Vegetable Oils,Industrial Synthetic Trans Fat,CAPPED < 2g per 100g fat | PHO GRAS REVOCATION (Effectively Banned) | VOLUNTARY REDUCTION / LABELLING,"Industrial trans fats elevate systemic LDL cholesterol, lower protective HDL cholesterol, calcify arterial endothelium, and cause over 500,000 premature cardiovascular deaths annually worldwide.",TRANS FAT CAPPED < 2% of total fat (FSSAI),US FDA revoked GRAS status for PHOs (banned). WHO-led global elimination campaign; EU and FSSAI cap trans fats < 2% of total fat.,🟡 Moderate Concern
8906011347405,Mello Royale Dark Compound,Mello Royale,"sugar, edible vegetable fat (hydrogenated oil), cocoa solids, emulsifiers (ins 322 (i), ins 476, ins 492), edible salt, flavour.",PHO / Trans Fats,Hydrogenated / Partially Hydrogenated Vegetable Oils,Industrial Synthetic Trans Fat,CAPPED < 2g per 100g fat | PHO GRAS REVOCATION (Effectively Banned) | VOLUNTARY REDUCTION / LABELLING,"Industrial trans fats elevate systemic LDL cholesterol, lower protective HDL cholesterol, calcify arterial endothelium, and cause over 500,000 premature cardiovascular deaths annually worldwide.",TRANS FAT CAPPED < 2% of total fat (FSSAI),US FDA revoked GRAS status for PHOs (banned). WHO-led global elimination campaign; EU and FSSAI cap trans fats < 2% of total fat.,🟡 Moderate Concern
8906057206254,Tomato Ketchup,Tikks,"water, sugar, tomato paste (18%), liquid glucose, edible common salt, stabilizers (ins1422, ins415), sweetener (ins 960), acidity regulator (ins 260, ins 330), potato/carrot powder spices and condiments. contains permitted class-ii preservative (ins 211).",INS 211 / E211,Sodium Benzoate,Chemical Anti-Fungal Preservative,AUTHORISED with MPLs | PERMITTED ≤ 0.1% | PERMITTED in specified categories,"In acidic beverages combined with Vitamin C (Ascorbic Acid INS 300), heat, and light, Sodium Benzoate can decarboxylate into Benzene — a known Group 1 human carcinogen. Also implicated in pediatric hyperactivity when combined with azo dyes.",PERMITTED under FSSAI MPLs,Fully authorised preservative globally subject to Maximum Permitted Levels (MPLs). Elevated chemical risk of Benzene formation when mixed with Vitamin C.,🟡 Moderate Concern
8906050621900,Ginger garlic paste,LA-SOON,"fresh garlic (65%),

fresh ginger (35%), water, salt, acetic acid & citric acid (acidity regulator, e260 & e330), xanthan gum (stabilizing & emulsifying agent, e415). sodium benzoate (preservative, e211)",INS 211 / E211,Sodium Benzoate,Chemical Anti-Fungal Preservative,AUTHORISED with MPLs | PERMITTED ≤ 0.1% | PERMITTED in specified categories,"In acidic beverages combined with Vitamin C (Ascorbic Acid INS 300), heat, and light, Sodium Benzoate can decarboxylate into Benzene — a known Group 1 human carcinogen. Also implicated in pediatric hyperactivity when combined with azo dyes.",PERMITTED under FSSAI MPLs,Fully authorised preservative globally subject to Maximum Permitted Levels (MPLs). Elevated chemical risk of Benzene formation when mixed with Vitamin C.,🟡 Moderate Concern
8901725013714,Bingo Mad Angles Achaari Masti,ITC,"Corn grits, edible vegetable oil (palmolein), rice grits, gram flour, spices, salt, sugar, flavour enhancers (INS 621, INS 627, INS 631), acidity regulators, colours (INS 160c)",INS 621 / E621,Monosodium Glutamate (MSG),Flavour Enhancer (Glutamate Group),AUTHORISED (Group ADI 30 mg/kg bw/day) | GRAS (Generally Recognized as Safe) | PERMITTED under positive list,"Dietary MSG does not readily cross the intact blood-brain barrier and is not considered a neurotoxin at typical intake levels by EFSA, FDA, or JECFA. Transient headaches/flushing can occur in sensitive individuals at high empty-stomach doses. Flagged as Moderate Concern for frequent children's snack consumption.",PERMITTED in snacks; PROHIBITED in dried pasta & instant noodles,Approved flavour enhancer globally with Group ADI 30 mg/kg bw/day. FSSAI (India) prohibits added MSG in dried pasta/instant noodles but permits it in snacks.,🟡 Moderate Concern
8901777960042,Vadilal Bomber,Vadilal,"Toned milk, sugar, cocoa solids, edible vegetable oil, stabilizers, emulsifiers, colours (INS 124)",INS 124 / E124,Ponceau 4R (Brilliant Scarlet),Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | NOT APPROVED for food use | NOT APPROVED for food use,"Synthetic coal-tar derived dye linked to allergic asthma amplification, pediatric hyperkinesis, and histamine release.",PERMITTED under FSSAI MPLs,Not approved for food use by US FDA or Japan. Authorised in EU and India with MPLs and mandatory EU child activity warning.,🔴 High Concern
8904288612028,Mixed pickles,Tops gold,"mixed vegetables - 64% (mango, lime, green chilli, carrot, turnip, dela, cauliflower, ginger, lotus stem), iodised salt, mustard oil, fenugreek, acidity regulators (ins 330, ins 260), aniseed, red chilli powder, lime juice, preservative (ins 211), spices & condiments, turmeric powder.",INS 211 / E211,Sodium Benzoate,Chemical Anti-Fungal Preservative,AUTHORISED with MPLs | PERMITTED ≤ 0.1% | PERMITTED in specified categories,"In acidic beverages combined with Vitamin C (Ascorbic Acid INS 300), heat, and light, Sodium Benzoate can decarboxylate into Benzene — a known Group 1 human carcinogen. Also implicated in pediatric hyperactivity when combined with azo dyes.",PERMITTED under FSSAI MPLs,Fully authorised preservative globally subject to Maximum Permitted Levels (MPLs). Elevated chemical risk of Benzene formation when mixed with Vitamin C.,🟡 Moderate Concern
8906010500047,Balaji Wafers Masala Masti,Balaji,"Potato, edible vegetable oil, spices, salt, sugar, flavour enhancers (INS 621), acidity regulators, colours (INS 160c)",INS 621 / E621,Monosodium Glutamate (MSG),Flavour Enhancer (Glutamate Group),AUTHORISED (Group ADI 30 mg/kg bw/day) | GRAS (Generally Recognized as Safe) | PERMITTED under positive list,"Dietary MSG does not readily cross the intact blood-brain barrier and is not considered a neurotoxin at typical intake levels by EFSA, FDA, or JECFA. Transient headaches/flushing can occur in sensitive individuals at high empty-stomach doses. Flagged as Moderate Concern for frequent children's snack consumption.",PERMITTED in snacks; PROHIBITED in dried pasta & instant noodles,Approved flavour enhancer globally with Group ADI 30 mg/kg bw/day. FSSAI (India) prohibits added MSG in dried pasta/instant noodles but permits it in snacks.,🟡 Moderate Concern
8906153561080,Badam Flavoured Milk,Nandini,"milk solids, sugar, stabilizers (ins 460, ins 466, ins 407), ins 102, ins 110, 
allergen advice: contains <span class=""allergen"">milk</span>",INS 102 / E102,Tartrazine (Yellow 5),Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | PERMITTED (FD&C Yellow No. 5) | PERMITTED under positive list,The 2007 Southampton study demonstrated that mixtures of synthetic azo dyes with benzoate triggers pediatric hyperactivity and neuro-attentional deficits. Can cause urticaria and bronchospasm in aspirin-sensitive individuals.,PERMITTED under FSSAI MPLs,Authorised globally with ADI. EU requires mandatory label warning: 'May have an adverse effect on activity and attention in children'.,🔴 High Concern
